Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,sept-20,juin-21 juil-21 août-21,sept-21,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10 000,"105,7","112,5 113,7 113,0","111,7","-1,1 -0,7 5,7"
,Produits alimentaires et boissons non,,,,,
I,,3 287,"110,2","127,2 130,4 128,3","124,0","-3,3 -2,5 12,5"
,alcoolisées,,,,,
,Produits alimentaires,3 067,"110,6","128,7 131,9 129,7","125,1","-3,5 -2,7 13,2"
,dont:  Pains et céréales,911,"107,3","122,7 125,3 126,4","125,4","-0,8 2,2 16,8"
,Viande,308,"116,8","122,1 124,7 123,9","124,6","0,6 2,0 6,7"
,Poisson et fruits de mer,459,"119,7","129,1 135,1 141,0","136,4","-3,3 5,6 14,0"
,Huiles et graisses,160,"100,4","117,4 123,8 126,3","129,4","2,4 10,3 28,9"
,Légumes,753,"110,0","145,1 149,9 136,3","124,3","-8,8 -14,4 13,0"
,Tubercules et plantains,153,"114,6","182,5 216,2 173,6","136,2","-21,5 -25,4 18,9"
,"Sel, épices, sauces et produits alimentaires",157,"101,9","121,3 120,2 115,7","106,4","-8,0 -12,3 4,4"
,n.d.a.,,,,,
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"108,7","108,7 108,8 111,1","109,2","-1,7 0,4 0,5"
III,Articles d'habillement et chaussures,839,"107,8","107,4 107,5 107,6","107,8","0,3 0,4 0,1"
,"Logement, eau, gaz, électricité et autres",,,,,
IV,,1 203,"98,8","99,7 100,0 98,4","100,2","1,8 0,4 1,3"
,combustibles,,,,,
,"Meubles, articles de ménage et entretien",,,,,
V,,278,"109,9","111,3 111,4 111,3","111,4","0,0 0,0 1,3"
,courant du foyer,,,,,
VI,Santé,370,"103,5","103,2 103,1 104,2","103,1","-1,1 -0,1 -0,3"
VII,Transports,941,"90,4","93,9 95,2 95,2","95,2","0,0 1,4 5,3"
VIII,Communication,588,"95,9","101,8 101,8 101,8","101,9","0,0 0,0 6,2"
IX,Loisirs et culture,236,"102,7","104,0 104,1 104,4","104,7","0,3 0,7 2,0"
X,Enseignement,201,"110,4","112,0 112,0 111,4","107,7","-3,4 -3,8 -2,5"
XI,Restaurants et hôtels,1 495,"113,1","114,8 114,9 115,3","115,7","0,3 0,8 2,3"
XII,Biens et services divers,469,"106,4","107,9 108,2 108,0","108,4","0,3 0,5 1,8"
