Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,août-20,mai-21 juin-21 juil-21,août-21,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10 000,"105,7","110,7 112,5 113,7","113,0","-0,7 2,0 6,8"
,Produits alimentaires et boissons non,,,,,
I,,3 287,"111,5","123,0 127,2 130,4","128,3","-1,6 4,3 15,0"
,alcoolisées,,,,,
,Produits alimentaires,3 067,"112,0","124,2 128,7 131,9","129,7","-1,7 4,4 15,8"
,dont:  Pains et céréales,911,"108,9","114,5 122,7 125,3","126,4","0,9 10,3 16,0"
,Viande,308,"115,5","120,8 122,1 124,7","123,9","-0,6 2,5 7,2"
,Poisson et fruits de mer,459,"119,2","132,1 129,1 135,1","141,0","4,4 6,7 18,4"
,Huiles et graisses,160,"101,5","116,5 117,4 123,8","126,3","2,0 8,4 24,4"
,Légumes,753,"113,5","134,9 145,1 149,9","136,3","-9,1 1,0 20,0"
,Tubercules et plantains,153,"144,5","159,4 182,5 216,2","173,6","-19,7 8,9 20,2"
,"Sel, épices, sauces et produits alimentaires",157,"105,6","113,9 121,3 120,2","115,7","-3,7 1,6 9,6"
,n.d.a.,,,,,
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"106,8","104,7 108,7 108,8","111,1","2,1 6,1 4,0"
III,Articles d'habillement et chaussures,839,"107,5","107,7 107,4 107,5","107,6","0,0 -0,1 0,0"
,"Logement, eau, gaz, électricité et autres",,,,,
IV,,1 203,"98,0","100,0 99,7 100,0","98,4","-1,6 -1,6 0,4"
,combustibles,,,,,
,"Meubles, articles de ménage et entretien",,,,,
V,,278,"109,8","111,3 111,3 111,4","111,3","-0,1 0,1 1,4"
,courant du foyer,,,,,
VI,Santé,370,"103,1","103,6 103,2 103,1","104,2","1,1 0,6 1,1"
VII,Transports,941,"90,4","90,8 93,9 95,2","95,2","0,0 4,9 5,3"
VIII,Communication,588,"96,4","101,8 101,8 101,8","101,8","0,0 0,1 5,7"
IX,Loisirs et culture,236,"102,6","104,1 104,0 104,1","104,4","0,2 0,3 1,7"
X,Enseignement,201,"110,4","112,5 112,0 112,0","111,4","-0,5 -0,9 0,9"
XI,Restaurants et hôtels,1 495,"111,1","113,8 114,8 114,9","115,3","0,4 1,3 3,9"
XII,Biens et services divers,469,"106,7","107,7 107,9 108,2","108,0","-0,2 0,3 1,2"
