Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Indices des mois de,Unnamed: 4,Variation en %
,Libellé,Pondé,déc-20,sept-21 oct-21 nov-21,déc-21,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10000,"107,2","111,7 111,6 111,6","113,8","2,0 1,8 6,1"
,Produits alimentaires et boissons non,,,,,
I,,3287,"112,4","124,0 123,7 123,2","129,1","4,8 4,1 14,9"
,alcoolisées,,,,,
,Produits alimentaires,3067,"113,0","125,1 124,8 124,3","130,5","5,0 4,3 15,5"
,dont:  Pains et céréales,911,"107,1","125,4 118,7 120,6","130,8","8,5 4,3 22,1"
,Viande,308,"116,4","124,6 126,2 125,9","127,5","1,3 2,3 9,5"
,Poisson et fruits de mer,459,"120,8","136,4 137,4 134,4","135,9","1,1 -0,4 12,5"
,Huiles et graisses,160,"119,4","129,4 136,6 146,2","149,3","2,1 15,4 25,1"
,Légumes,753,"114,5","124,3 127,4 125,5","132,3","5,4 6,5 15,6"
,Tubercules et plantains,153,"106,0","136,2 123,0 127,6","135,1","5,8 -0,9 27,4"
,"Sel, épices, sauces et produits alimentaires",157,"107,2","106,4 104,7 109,2","113,3","3,7 6,4 5,7"
,n.d.a.,,,,,
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"109,9","109,2 110,1 105,9","109,0","2,9 -0,2 -0,8"
III,Articles d'habillement et chaussures,839,"107,8","107,8 108,0 108,0","108,2","0,3 0,4 0,4"
,"Logement, eau, gaz, électricité et autres",,,,,
IV,,1203,"101,4","100,2 100,4 101,3","103,2","1,9 3,1 1,8"
,combustibles,,,,,
,"Meubles, articles de ménage et entretien",,,,,
V,,278,"110,1","111,4 111,4 111,5","111,5","0,0 0,2 1,3"
,courant du foyer,,,,,
VI,Santé,370,"103,2","103,1 103,6 103,7","103,4","-0,3 0,3 0,2"
VII,Transports,941,"90,3","95,2 95,2 95,3","95,2","-0,1 0,0 5,4"
VIII,Communication,588,"101,8","101,9 101,8 101,8","101,8","0,0 0,0 0,1"
IX,Loisirs et culture,236,"102,5","104,7 104,8 104,8","104,8","0,0 0,1 2,3"
X,Enseignement,201,"112,6","107,7 107,9 108,1","108,1","0,0 0,4 -4,0"
XI,Restaurants et hôtels,1495,"113,1","115,7 115,1 115,0","115,0","0,0 -0,6 1,6"
XII,Biens et services divers,469,"108,8","108,4 109,0 108,9","109,1","0,1 0,6 0,2"
