Unnamed: 0,Unnamed: 1,Unnamed: 2,Indices des mois de,Variation en %,Unnamed: 3
,Pondé Libellé /12mois ration,févr-21,nov-21 déc-21 janv-22 févr-22,/1mois /3mois,
,INDICE GLOBAL 10000,"107,5","111,6 113,8 115,4 116,6","1,0 4,5","8,4"
I,Produits alimentaires et boissons non alcoolisées 3287,"113,1","123,2 129,1 132,1 133,3","1,0 8,2","17,9"
,Produits alimentaires 3067,"113,6","124,3 130,5 133,8 135,2","1,0 8,7","19,0"
,dont:  Pains et céréales911,"108,5","120,6 130,8 131,5 133,3","1,3 10,5","22,8"
,Viande 308,"118,6","125,9 127,5 129,2 129,9","0,5 3,1","9,5"
,Poisson et fruits de mer 459,"124,8","134,4 135,9 138,7 142,9","3,0 6,3","14,5"
,Huiles et graisses 160,"113,0","146,2 149,3 144,7 138,9","-4,0 -5,0","22,9"
,Légumes  753,"110,4","125,5 132,3 138,4 139,6","0,9 11,2","26,5"
,Tubercules et plantains 153,"112,6","127,6 135,1 134,4 134,9","0,4 5,7","19,8"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","105,6","109,2 113,3 121,1 118,0","-2,6 8,0","11,7"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","109,7","105,9 109,0 108,5 110,6","1,9 4,5","0,9"
III,Articles d'habillement et chaussures 839,"107,5","108,0 108,2 110,9 111,0","0,2 2,8","3,3"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","100,9","101,3 103,2 105,1 108,8","3,5 7,5","7,9"
"Meubles, articles de ménage et entretien courant du V","2,8 foyer  278","110,7","111,5 111,5 112,8 113,8","0,8 2,0",
VI,Santé 370,"103,7","103,7 103,4 103,1 103,6","0,5 -0,1","0,0"
VII,Transports 941,"90,7","95,3 95,2 95,5 96,0","0,5 0,8","5,9"
VIII,Communication 588,"101,8","101,8 101,8 101,8 101,8","0,0 0,0","0,0"
IX,Loisirs et culture 236,"101,8","104,8 104,8 107,2 111,8","4,2 6,6","9,8"
X,Enseignement 201,"112,4","108,1 108,1 108,4 108,8","0,3 0,7","-3,2"
XI,Restaurants et hôtels 1495,"114,1","115,0 115,0 115,7 115,9","0,1 0,8","1,5"
XII,Biens et services divers 469,"107,7","108,9 109,1 110,0 110,6","0,6 1,6","2,8"
