Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,juil-20,avr-21 mai-21 juin-21,juil-21,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10000,"106,5","109,7 110,7 112,5","113,7","1,1 3,7 6,8"
,Produits alimentaires et boissons non,,,,,
I,,3287,"113,9","119,6 123,0 127,2","130,4","2,5 9,0 14,5"
,alcoolisées,,,,,
,Produits alimentaires,3067,"114,5","120,6 124,2 128,7","131,9","2,5 9,4 15,3"
,dont:  Pains et céréales,911,"104,4","113,2 114,5 122,7","125,3","2,1 10,7 20,0"
,Viande,308,"115,6","119,8 120,8 122,1","124,7","2,1 4,0 7,9"
,Poisson et fruits de mer,459,"123,2","128,5 132,1 129,1","135,1","4,6 5,1 9,6"
,Huiles et graisses,160,"102,9","117,3 116,5 117,4","123,8","5,5 5,6 20,3"
,Légumes,753,"123,8","124,0 134,9 145,1","149,9","3,3 20,8 21,0"
,Tubercules et plantains,153,"179,2","134,4 159,4 182,5","216,2","18,5 60,9 20,7"
,"Sel, épices, sauces et produits alimentaires",157,"112,5","111,3 113,9 121,3","120,2","-0,9 8,0 6,9"
,n.d.a.,,,,,
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"105,7","106,0 104,7 108,7","108,8","0,1 2,7 2,9"
III,Articles d'habillement et chaussures,839,"107,5","107,5 107,7 107,4","107,5","0,1 0,0 0,1"
,"Logement, eau, gaz, électricité et autres",,,,,
IV,,1203,"98,4","100,4 100,0 99,7","100,0","0,3 -0,3 1,6"
,combustibles,,,,,
,"Meubles, articles de ménage et entretien",,,,,
V,,278,"109,8","110,9 111,3 111,3","111,4","0,1 0,4 1,4"
,courant du foyer,,,,,
VI,Santé,370,"103,0","103,4 103,6 103,2","103,1","-0,1 -0,3 0,1"
VII,Transports,941,"90,5","90,8 90,8 93,9","95,2","1,4 4,9 5,2"
VIII,Communication,588,"96,5","101,8 101,8 101,8","101,8","0,0 0,0 5,5"
IX,Loisirs et culture,236,"102,5","104,0 104,1 104,0","104,1","0,2 0,1 1,6"
X,Enseignement,201,"110,3","112,4 112,5 112,0","112,0","0,0 -0,4 1,5"
XI,Restaurants et hôtels,1495,"110,9","114,0 113,8 114,8","114,9","0,1 0,8 3,6"
XII,Biens et services divers,469,"106,6","108,0 107,7 107,9","108,2","0,4 0,2 1,6"
