Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Indices des mois de,Unnamed: 6,Variation en %
,,Libellé,Pondé ration,,juin-20,mars-21 avr-21 mai-21,juin-21,/1mois /3mois /12mois
,,INDICE GLOBAL,10000,,"105,9","106,8 109,7 110,7","112,5","1,6 5,4 6,2"
I,Produits alimentaires et boissons non alcoolisées,,3287,,"113,7","111,1 119,6 123,0","127,2","3,4 14,5 11,9"
,Produits alimentaires,,3067,,"114,3","111,6 120,6 124,2","128,7","3,6 15,2 12,5"
,dont:  Pains et céréales,,911,,"99,6","103,3 113,2 114,5","122,7","7,1 18,7 23,1"
,Viande,,308,,"115,0","116,9 119,8 120,8","122,1","1,0 4,4 6,2"
,Poisson et fruits de mer,,459,,"125,9","121,4 128,5 132,1","129,1","-2,3 6,4 2,6"
,Huiles et graisses,,160,,"104,2","108,4 117,3 116,5","117,4","0,8 8,3 12,7"
,Légumes,,753,,"122,7","110,8 124,0 134,9","145,1","7,6 31,0 18,3"
,Tubercules et plantains,,153,,"148,0","113,6 134,4 159,4","182,5","14,5 60,7 23,3"
,"Sel, épices, sauces et produits alimentaires",,,,,,,
,n.d.a.,,157,,"119,3","106,7 111,3 113,9","121,3","6,5 13,7 1,7"
II,"Boissons alcoolisées, tabacs et stupéfiants",,93,,"106,0","107,0 106,0 104,7","108,7","3,8 1,6 2,6"
III,Articles d'habillement et chaussures,,839,,"107,1","107,6 107,5 107,7","107,4","-0,2 -0,1 0,3"
IV,"Logement, eau, gaz, électricité et autres combustibles",,1203,,"96,1","99,9 100,4 100,0","99,7","-0,2 -0,1 3,8"
V,"Meubles, articles de ménage et entretien courant du foyer",,278,,"109,7","111,0 110,9 111,3","111,3","0,0 0,3 1,5"
VI,Santé,,370,,"103,9","102,9 103,4 103,6","103,2","-0,3 0,4 -0,6"
VII,Transports,,941,,"90,9","90,8 90,8 90,8","93,9","3,4 3,4 3,3"
VIII,Communication,,588,,"92,0","101,8 101,8 101,8","101,8","0,0 0,0 10,7"
IX,Loisirs et culture,,236,,"102,4","104,0 104,0 104,1","104,0","-0,1 0,0 1,5"
X,Enseignement,,201,,"110,7","112,4 112,4 112,5","112,0","-0,5 -0,4 1,1"
XI,Restaurants et hôtels,,1495,,"110,7","113,9 114,0 113,8","114,8","0,8 0,8 3,7"
XII,Biens et services divers,,469,,"105,5","107,7 108,0 107,7","107,9","0,2 0,1 2,3"
