Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,mai-21,févr-22 mars-22 avr-22,mai-22,/1mois /3mois /12mois
,,ration,,,,
,,,,,,
,INDICE GLOBAL,10000,"110,7","116,6 116,1 117,9","119,6","1,4 2,5 8,0"
I,Produits alimentaires et boissons non alcoolisées,3287,"123,0","133,3 132,3 135,9","139,8","2,9 4,9 13,7"
,Produits alimentaires,3067,"124,2","135,2 134,0 137,8","142,0","3,0 5,0 14,3"
,,,,,,
,dont:  Pains et céréales,911,"114,5","133,3 133,8 134,6","137,4","2,1 3,1 20,0"
,Viande,308,"120,8","129,9 131,5 135,1","137,9","2,1 6,2 14,1"
,Poisson et fruits de mer,459,"132,1","142,9 140,4 144,0","146,2","1,5 2,3 10,7"
,,,,,,
,Huiles et graisses,160,"116,5","138,9 137,0 147,4","148,6","0,8 7,0 27,6"
,Légumes,753,"134,9","139,6 133,3 137,8","150,3","9,0 7,6 11,4"
,Tubercules et plantains,153,"159,4","134,9 141,0 166,8","190,3","14,0 41,0 19,3"
,"Sel, épices, sauces et produits alimentaires n.d.a.",157,"113,9","118,0 113,7 120,6","123,9","2,8 5,0 8,8"
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"104,7","110,6 110,8 109,2","112,6","3,1 1,8 7,5"
III,Articles d'habillement et chaussures,839,"107,7","111,0 111,2 111,7","111,8","0,1 0,7 3,8"
IV,"Logement, eau, gaz, électricité et autres combustibles",1203,"100,0","108,8 106,7 106,4","105,0","-1,3 -3,5 5,1"
,"Meubles, articles de ménage et entretien courant du",,,,,
V,,278,"111,3","113,8 114,1 115,1","116,0","0,8 2,0 4,2"
,foyer,,,,,
VI,Santé,370,"103,6","103,6 103,8 104,2","104,5","0,3 0,8 0,9"
VII,Transports,941,"90,8","96,0 96,6 100,7","102,3","1,5 6,6 12,7"
VIII,Communication,588,"101,8","101,8 101,7 101,7","101,6","0,0 -0,2 -0,1"
IX,Loisirs et culture,236,"104,1","111,8 111,8 112,4","112,4","0,0 0,6 7,9"
X,Enseignement,201,"112,5","108,8 109,2 109,2","109,2","0,0 0,4 -2,9"
XI,Restaurants et hôtels,1495,"113,8","115,9 116,1 117,0","118,9","1,6 2,6 4,4"
XII,Biens et services divers,469,"107,7","110,6 110,6 111,3","111,8","0,4 1,0 3,8"
