Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,mars-21,déc-21 janv-22 févr-22,mars-22,/1mois /3mois /12mois
,,ration,,,,
,,,,,,
,INDICE GLOBAL,10000,"106,8","113,8 115,4 116,6","116,1","-0,4 2,1 8,8"
I,Produits alimentaires et boissons non alcoolisées,3287,"111,1","129,1 132,1 133,3","132,3","-0,8 2,4 19,1"
,Produits alimentaires,3067,"111,6","130,5 133,8 135,2","134,0","-0,9 2,7 20,1"
,,,,,,
,dont:  Pains et céréales,911,"103,3","130,8 131,5 133,3","133,8","0,4 2,3 29,5"
,,,,,,
,Viande,308,"116,9","127,5 129,2 129,9","131,5","1,3 3,1 12,5"
,Poisson et fruits de mer,459,"121,4","135,9 138,7 142,9","140,4","-1,7 3,3 15,6"
,Huiles et graisses,160,"108,4","149,3 144,7 138,9","137,0","-1,4 -8,3 26,4"
,,,,,,
,Légumes,753,"110,8","132,3 138,4 139,6","133,3","-4,5 0,7 20,3"
,Tubercules et plantains,153,"113,6","135,1 134,4 134,9","141,0","4,5 4,4 24,1"
,,,,,,
,"Sel, épices, sauces et produits alimentaires n.d.a.",157,"106,7","113,3 121,1 118,0","113,7","-3,7 0,3 6,5"
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"107,0","109,0 108,5 110,6","110,8","0,1 1,7 3,5"
III,Articles d'habillement et chaussures,839,"107,6","108,2 110,9 111,0","111,2","0,2 2,7 3,4"
IV,"Logement, eau, gaz, électricité et autres combustibles",1203,"99,9","103,2 105,1 108,8","106,7","-2,0 3,3 6,8"
,"Meubles, articles de ménage et entretien courant du",,,,,
V,,278,"111,0","111,5 112,8 113,8","114,1","0,3 2,3 2,8"
,foyer,,,,,
VI,Santé,370,"102,9","103,4 103,1 103,6","103,8","0,2 0,4 0,9"
VII,Transports,941,"90,8","95,2 95,5 96,0","96,6","0,7 1,5 6,5"
VIII,Communication,588,"101,8","101,8 101,8 101,8","101,7","-0,1 -0,1 -0,1"
IX,Loisirs et culture,236,"104,0","104,8 107,2 111,8","111,8","0,0 6,6 7,5"
X,Enseignement,201,"112,4","108,1 108,4 108,8","109,2","0,4 1,1 -2,8"
XI,Restaurants et hôtels,1495,"113,9","115,0 115,7 115,9","116,1","0,2 1,0 1,9"
XII,Biens et services divers,469,"107,7","109,1 110,0 110,6","110,6","-0,1 1,4 2,6"
