Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,Indices des mois de,,Variation en %
,Libellé,Pondé,oct-20,juil-21 août-21 sept-21,oct-21,/1mois /3mois /12mois
,,ration,,,,
,INDICE GLOBAL,10 000,"105,4","113,7 113,0 111,7","111,6","-0,1 -1,8 5,9"
,Produits alimentaires et boissons non,,,,,
I,,3 287,"109,0","130,4 128,3 124,0","123,7","-0,3 -5,2 13,5"
,alcoolisées,,,,,
,Produits alimentaires,3 067,"109,3","131,9 129,7 125,1","124,8","-0,3 -5,4 14,1"
,dont:  Pains et céréales,911,"104,3","125,3 126,4 125,4","118,7","-5,4 -5,3 13,8"
,Viande,308,"117,1","124,7 123,9 124,6","126,2","1,3 1,2 7,8"
,Poisson et fruits de mer,459,"119,0","135,1 141,0 136,4","137,4","0,8 1,7 15,5"
,Huiles et graisses,160,"105,6","123,8 126,3 129,4","136,6","5,6 10,3 29,3"
,Légumes,753,"110,1","149,9 136,3 124,3","127,4","2,5 -15,0 15,7"
,Tubercules et plantains,153,"106,0","216,2 173,6 136,2","123,0","-9,7 -43,1 16,0"
,"Sel, épices, sauces et produits alimentaires",157,"99,2","120,2 115,7 106,4","104,7","-1,7 -12,9 5,5"
,n.d.a.,,,,,
II,"Boissons alcoolisées, tabacs et stupéfiants",93,"109,8","108,8 111,1 109,2","110,1","0,8 1,1 0,2"
III,Articles d'habillement et chaussures,839,"107,9","107,5 107,6 107,8","108,0","0,1 0,4 0,1"
,"Logement, eau, gaz, électricité et autres",,,,,
IV,,1 203,"99,1","100,0 98,4 100,2","100,4","0,3 0,4 1,3"
,combustibles,,,,,
,"Meubles, articles de ménage et entretien",,,,,
V,,278,"110,1","111,4 111,3 111,4","111,4","0,0 0,0 1,2"
,courant du foyer,,,,,
VI,Santé,370,"102,8","103,1 104,2 103,1","103,6","0,5 0,5 0,8"
VII,Transports,941,"90,4","95,2 95,2 95,2","95,2","0,0 0,0 5,3"
VIII,Communication,588,"95,9","101,8 101,8 101,9","101,8","0,0 0,0 6,2"
IX,Loisirs et culture,236,"102,7","104,1 104,4 104,7","104,8","0,1 0,6 2,1"
X,Enseignement,201,"110,8","112,0 111,4 107,7","107,9","0,2 -3,6 -2,6"
XI,Restaurants et hôtels,1 495,"113,1","114,9 115,3 115,7","115,1","-0,5 0,2 1,8"
XII,Biens et services divers,469,"107,4","108,2 108,0 108,4","109,0","0,5 0,7 1,4"
