Unnamed: 0,Unnamed: 1,Unnamed: 3,2022-04-30
,INDICE GLOBAL 10000,"7,5",0
I,Produits alimentaires et boissons non alcoolisées 3287,"13,6",0
II,"Boissons alcoolisées, tabacs et stupéfiants 93","3,0",0
III,Articles d'habillement et chaussures 839,"3,9",0
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","6,0",0
"Meubles, articles de ménage et entretien courant du V","3,8 foyer  278",,0
VI,Santé 370,"0,7",0
VII,Transports 941,"11,0",0
VIII,Communication 588,"-0,1",0
IX,Loisirs et culture 236,"8,0",0
X,Enseignement 201,"-2,8",0
XI,Restaurants et hôtels 1495,"2,6",0
XII,Biens et services divers 469,"3,0",0
