Unnamed: 0,Unnamed: 1,Unnamed: 6,2022-12-31
,Libellé,/1mois /3mois /12mois,0
,,,0
,Tubercules et plantains,"0,3 -7,2 -11,0",0
,"Sel, épices, sauces et produits alimentaires n.d.a.","2,3 22,3 27,8",0
II,"Boissons alcoolisées, tabacs et stupéfiants","0,3 -1,9 7,6",0
III,Articles d'habillement et chaussures,"0,4 1,7 8,1",0
IV,"Logement, eau, gaz, électricité et autres combustibles","-1,5 1,3 9,0",0
,"Meubles, articles de ménage et entretien courant du",,0
V,,"0,3 1,1 9,1",0
,foyer,,0
VI,Santé,"0,2 0,0 0,8",0
VII,Transports,"0,5 0,9 18,3",0
VIII,Communication,"0,0 0,0 -0,3",0
