Unnamed: 0,Unnamed: 1,Unnamed: 6
,Libellé,/1mois /3mois /12mois
,,
,Huiles et graisses,"6,3 12,7 34,2"
,Légumes,"0,3 9,5 0,7"
,,
,Tubercules et plantains,"12,1 36,9 5,6"
,"Sel, épices, sauces et produits alimentaires n.d.a.","-0,3 2,1 2,4"
II,"Boissons alcoolisées, tabacs et stupéfiants","1,0 3,0 3,4"
III,Articles d'habillement et chaussures,"0,9 1,5 5,5"
IV,"Logement, eau, gaz, électricité et autres combustibles","-1,2 -0,6 5,7"
,"Meubles, articles de ménage et entretien courant du",
V,,"0,8 2,6 6,0"
,foyer,
