Indicator.Name,Indicator.Code,2021-08-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"6,8"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,"15,0"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"4,0"
Clothing and footwear,PCPIA_PC_CP_A_PT,"0,0"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,"0,4"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,"1,4"
Health,PCPIM_PC_CP_A_PT,"1,1"
Transport,PCPIT_PC_CP_A_PT,"5,3"
Communication,PCPIEC_PC_CP_A_PT,"5,7"
Recreation and culture,PCPIR_PC_CP_A_PT,"1,7"
Education,PCPIED_PC_CP_A_PT,"0,9"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"3,9"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"1,2"
