Indicator.Name,Indicator.Code,2021-12-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,"6,1"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,"14,9"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,"-0,8"
Clothing and footwear,PCPIA_PC_CP_A_PT,"0,4"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,"1,8"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,"1,3"
Health,PCPIM_PC_CP_A_PT,"0,2"
Transport,PCPIT_PC_CP_A_PT,"5,4"
Communication,PCPIEC_PC_CP_A_PT,"0,1"
Recreation and culture,PCPIR_PC_CP_A_PT,"2,3"
Education,PCPIED_PC_CP_A_PT,"-4,0"
Restaurants and hotels,PCPIRE_PC_CP_A_PT,"1,6"
Insurance and Financial Services,,
Miscellaneous goods and services,PCPIO_PC_CP_A_PT,"0,2"
