Unnamed: 0,Unnamed: 1,Unnamed: 3
,INDICE GLOBAL 10000,"8,4"
I,Produits alimentaires et boissons non alcoolisées 3287,"17,9"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","0,9"
III,Articles d'habillement et chaussures 839,"3,3"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","7,9"
"Meubles, articles de ménage et entretien courant du V","2,8 foyer  278",
VI,Santé 370,"0,0"
VII,Transports 941,"5,9"
VIII,Communication 588,"0,0"
IX,Loisirs et culture 236,"9,8"
X,Enseignement 201,"-3,2"
XI,Restaurants et hôtels 1495,"1,5"
XII,Biens et services divers 469,"2,8"
