Unnamed: 0,Unnamed: 1,Unnamed: 6
,Libellé,/1mois /3mois /12mois
,,
,Tubercules et plantains,"-0,5 9,3 26,1"
,"Sel, épices, sauces et produits alimentaires n.d.a.","6,9 15,7 12,4"
II,"Boissons alcoolisées, tabacs et stupéfiants","-0,4 -1,4 1,0"
III,Articles d'habillement et chaussures,"2,4 2,7 3,1"
IV,"Logement, eau, gaz, électricité et autres combustibles","1,8 4,7 4,7"
,"Meubles, articles de ménage et entretien courant du",
V,,"1,2 1,3 2,0"
,foyer,
VI,Santé,"-0,3 -0,5 -0,6"
VII,Transports,"0,4 0,4 5,8"
VIII,Communication,"-0,1 -0,1 0,0"
