Unnamed: 0,Unnamed: 1,Variation en %
,,"1,6 5,4 6,2"
I,Produits alimentaires et boissons non alcoolisées,"3,4 14,5 11,9"
,n.d.a.,"6,5 13,7 1,7"
II,"Boissons alcoolisées, tabacs et stupéfiants","3,8 1,6 2,6"
III,Articles d'habillement et chaussures,"-0,2 -0,1 0,3"
IV,"Logement, eau, gaz, électricité et autres combustibles","-0,2 -0,1 3,8"
V,"Meubles, articles de ménage et entretien courant du foyer","0,0 0,3 1,5"
VI,Santé,"-0,3 0,4 -0,6"
VII,Transports,"3,4 3,4 3,3"
VIII,Communication,"0,0 0,0 10,7"
IX,Loisirs et culture,"-0,1 0,0 1,5"
X,Enseignement,"-0,5 -0,4 1,1"
XI,Restaurants et hôtels,"0,8 0,8 3,7"
