Unnamed: 0,Unnamed: 1,Unnamed: 6
,Libellé,/1mois /3mois /12mois
,,
,,
,Huiles et graisses,"0,8 7,0 27,6"
,Légumes,"9,0 7,6 11,4"
,Tubercules et plantains,"14,0 41,0 19,3"
,"Sel, épices, sauces et produits alimentaires n.d.a.","2,8 5,0 8,8"
II,"Boissons alcoolisées, tabacs et stupéfiants","3,1 1,8 7,5"
III,Articles d'habillement et chaussures,"0,1 0,7 3,8"
IV,"Logement, eau, gaz, électricité et autres combustibles","-1,3 -3,5 5,1"
,"Meubles, articles de ménage et entretien courant du",
V,,"0,8 2,0 4,2"
,foyer,
