Unnamed: 0,Unnamed: 1,Unnamed: 6
,Libellé,/1mois /3mois /12mois
,,
,Poisson et fruits de mer,"-1,7 3,3 15,6"
,Huiles et graisses,"-1,4 -8,3 26,4"
,,
,Légumes,"-4,5 0,7 20,3"
,Tubercules et plantains,"4,5 4,4 24,1"
,,
,"Sel, épices, sauces et produits alimentaires n.d.a.","-3,7 0,3 6,5"
II,"Boissons alcoolisées, tabacs et stupéfiants","0,1 1,7 3,5"
III,Articles d'habillement et chaussures,"0,2 2,7 3,4"
IV,"Logement, eau, gaz, électricité et autres combustibles","-2,0 3,3 6,8"
,"Meubles, articles de ménage et entretien courant du",
