COICOP,Indicator.Name,2022-07-31
,,
,INDICE GLOBAL,6
I,Produits alimentaires et boissons non alcoolisées,"7,6"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
II,"Boissons alcoolisées, tabacs et stupéfiants","3,4"
III,Articles d'habillement et chaussures,"5,5"
IV,"Logement, eau, gaz, électricité et autres combustibles","5,7"
,"Meubles, articles de ménage et entretien courant du",
V,,6
,foyer,
VI,Santé,"0,9"
VII,Transports,"11,8"
VIII,Communication,"-0,2"
IX,Loisirs et culture,"8,4"
X,Enseignement,"-2,2"
XI,Restaurants et hôtels,4
XII,Biens et services divers,"3,6"
