COICOP,Indicator.Name,2022-02-28
I,Produits alimentaires et boissons non alcoolisées 3287,"17,9"
,Produits alimentaires 3067,"19,0"
,dont:  Pains et céréales911,"22,8"
,Viande 308,"9,5"
,Poisson et fruits de mer 459,"14,5"
,Huiles et graisses 160,"22,9"
,Légumes  753,"26,5"
,Tubercules et plantains 153,"19,8"
,"Sel, épices, sauces et produits alimentaires n.d.a. 157","11,7"
II,"Boissons alcoolisées, tabacs et stupéfiants 93","0,9"
III,Articles d'habillement et chaussures 839,"3,3"
IV,"Logement, eau, gaz, électricité et autres combustibles  1203","7,9"
"Meubles, articles de ménage et entretien courant du V","2,8 foyer  278",
VI,Santé 370,"0,0"
VII,Transports 941,"5,9"
VIII,Communication 588,"0,0"
IX,Loisirs et culture 236,"9,8"
X,Enseignement 201,"-3,2"
XI,Restaurants et hôtels 1495,"1,5"
XII,Biens et services divers 469,"2,8"
