Indicator.Name,2022-03-31
,
INDICE GLOBAL Produits alimentaires et boissons non alcoolisées Produits alimentaires,"-0,8 2,4 19,1"
,
"Sel, épices, sauces et produits alimentaires n.d.a.","-3,7 0,3 6,5"
"Boissons alcoolisées, tabacs et stupéfiants Articles d'habillement et chaussures Logement, eau, gaz, électricité et autres combustibles","0,2 2,7 3,4"
"Meubles, articles de ménage et entretien courant du foyer","0,3 2,3 2,8"
Santé,"0,2 0,4 0,9"
Transports,"0,7 1,5 6,5"
Communication,"-0,1 -0,1 -0,1"
Loisirs et culture,"0,0 6,6 7,5"
Enseignement,"0,4 1,1 -2,8"
Restaurants et hôtels,"0,2 1,0 1,9"
Biens et services divers,"-0,1 1,4 2,6"
