COICOP,Indicator.Name,2021-11-30
I,Produits alimentaires et boissons non alcoolisées,"-0,4 -3,9 11,9"
,Produits alimentaires,"-0,4 -4,1 12,5"
,dont:  Pains et céréales,"1,6 -4,6 15,1"
,Viande,"-0,2 1,6 8,7"
,Poisson et fruits de mer,"-2,2 -4,7 12,4"
,Huiles et graisses,"7,0 15,8 28,7"
,Légumes,"-1,4 -7,9 11,9"
,Tubercules et plantains,"3,8 -26,5 16,3"
,"Sel, épices, sauces et produits alimentaires",
,n.d.a.,"4,4 -5,6 9,8"
II,"Boissons alcoolisées, tabacs et stupéfiants","-3,8 -4,7 -2,8"
III,Articles d'habillement et chaussures,"0,0 0,4 0,1"
IV,"Logement, eau, gaz, électricité et autres combustibles","0,8 2,9 1,8"
V,"Meubles, articles de ménage et entretien courant du foyer","0,1 0,1 1,6"
VI,Santé,"0,1 -0,5 0,7"
VII,Transports,"0,1 0,0 5,4"
VIII,Communication,"0,0 0,0 5,3"
IX,Loisirs et culture,"0,0 0,4 2,2"
X,Enseignement,"0,2 -3,0 -4,0"
XI,Restaurants et hôtels,"-0,1 -0,3 1,6"
XII,Biens et services divers,"0,5 0,7 1,4"
