original_language,Indicator.Name
INDICE GLOBAL,GLOBAL INDEX
Produits alimentaires et boissons non alcoolisées,Food and non-alcoholic beverages
"Boissons alcoolisées, tabacs et stupéfiants","ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS"
Articles d'habillement et chaussures,Clothing and footwear
"Logement, eau, gaz, électricité et autres combustibles","Housing water, electricity, gas and other fuels"
"Meubles, articles de ménage et entretien courant du foyer","Furnishing, household equipment and routine household maintenance"
Santé,Healthcare
Transports,Transport
Communication,Communication
Loisirs et culture,Leisure and culture
Enseignement,Teaching
Restaurants et hôtels,Restaurants and hotels
Biens et services divers,Miscellaneous goods and services
