Indicator.Name,2022-11-30
All,10.583868377183638
Food and Non-Alcoholic Beverages,22.70724279055691
"Alcoholic Beverages, Tobacco and Narcotics",8.716930940549105
Clothing and Footwear,4.66279028071696
"Housing, Water, Electricity, Gas and Other Fuels",4.857026794171396
"Furnishings, Household Equipment and Routine Household",15.127183269268842
Health,2.0487793048303313
Transport,5.067116588659065
Information and Communication,-0.997020299662406
"Recreation, Sport and Culture",5.987427750620025
Education Services,12.80110709785742
Restaurants and Accommodation Services,7.471865356169176
Insurance and Financial Services,-0.11661623326374179
"Personal Care, Social Protection and Miscellaneous Goods",8.892618580447746
