Indicator.Name,2022-08-31
Food and Non-Alcoholic Beverages,15.705282233735426
"Alcoholic Beverages, Tobacco and Narcotics",6.958199989407088
Clothing and Footwear,3.3722859165566823
"Housing, Water, Electricity, Gas and Other Fuels",6.222332351694008
"Furnishings, Household Equipment and Routine Household",16.191766048475607
Health,3.2554709146608163
Transport,8.748851495355526
Information and Communication,-1.1597119767192072
"Recreation, Sport and Culture",6.435623770470874
Education Services,8.88543375729306
Restaurants and Accommodation Services,6.827534571792386
Insurance and Financial Services,1.2007014020078188
"Personal Care, Social Protection and Miscellaneous Goods",6.6889469193542865
,
