Indicator.Name,2022-07-31
All,7.900693865698841
Food and Non-Alcoholic Beverages,14.925779977098383
"Alcoholic Beverages, Tobacco and Narcotics",6.614717063244909
Clothing and Footwear,3.3796964223242916
"Housing, Water, Electricity, Gas and Other Fuels",5.178562955624763
"Furnishings, Household Equipment and Routine Household",17.149724247385993
Health,2.8470793183787007
Transport,4.633908549261462
Information and Communication,-1.3346170697940707
"Recreation, Sport and Culture",4.999529921361508
Education Services,8.884180120380195
Restaurants and Accommodation Services,5.881348067445861
Insurance and Financial Services,1.2388817550012923
"Personal Care, Social Protection and Miscellaneous Goods",5.362925516978541
