Indicator.Name,2022-10-31
"Alcoholic Beverages, Tobacco and Narcotics",8.66395039984565
Clothing and Footwear,3.311127765135712
"Housing, Water, Electricity, Gas and Other Fuels",5.012381655658828
"Furnishings, Household Equipment and Routine Household",15.126997747251389
Health,3.0327102106371946
Transport,7.450402349949034
Information and Communication,-0.8292613192775902
"Recreation, Sport and Culture",5.733605379853529
Education Services,12.80110709785742
Restaurants and Accommodation Services,7.998259109150323
Insurance and Financial Services,-0.11587355112105911
"Personal Care, Social Protection and Miscellaneous Goods",7.482185720355898
,
Monthly % Change,2022-10-16 00:00:00
