Indicator.Name,2022-09-30
All,9.99397306386694
Food and Non-Alcoholic Beverages,18.418276232291202
"Alcoholic Beverages, Tobacco and Narcotics",7.7416438498293365
Clothing and Footwear,3.3712679765890665
"Housing, Water, Electricity, Gas and Other Fuels",6.124041224642792
"Furnishings, Household Equipment and Routine Household",16.167415452180396
Health,2.998068438298717
Transport,8.780952393547103
Information and Communication,-1.332204070189055
"Recreation, Sport and Culture",6.648487406119677
Education Services,12.80110709785742
Restaurants and Accommodation Services,7.455408973778972
Insurance and Financial Services,-0.13440823676610236
"Personal Care, Social Protection and Miscellaneous Goods",7.141764435796574
