Indicator.Name,2023-02-28
All,9.205063864517662
Food and Non-Alcoholic Beverages,20.91301781438784
"Alcoholic Beverages, Tobacco and Narcotics",9.043636056030214
Clothing and Footwear,3.6880211021111573
"Housing, Water, Electricity, Gas and Other Fuels",4.9862631809950235
"Furnishings, Household Equipment and Routine Household",9.042222682777917
Health,1.5853924925183898
Transport,5.390950898103281
Information and Communication,0.22224564510645978
"Recreation, Sport and Culture",5.032237510635489
Education Services,4.09041885828343
Restaurants and Accommodation Services,6.361798834901945
Insurance and Financial Services,-0.2788647189589361
"Personal Care, Social Protection and Miscellaneous Goods",8.347206412895098
