Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Uganda,611.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,4.86,7.84,9.95,11.41,12.84,17.68,17.52,22.76,24.25,24.35,23.65,22.83,24.27,21.04,19.04,17.9,14.84,10.31,9.82,4.89,4.5,4.54,4.27,3.46,1.97,2.89,3.04,3.85,5.3,5.98,6.94,7.44,6.67,5.83,5.45,5.29,4.8,5.21,4.3,3.47,2.56,2.46,1.97,1.58,1.53,1.98,2.06,2.88,2.7,3.13,4.53,4.81,4.94,5.42,5.66,6.64,7.65,8.02,8.39,7.37,7.03,6.31,5.13,5.25,5.86,5.16,4.85,4.26,4.14,4.57,5.64,5.91,6.71,6.43,6.8,7.25,6.4,5.67,5.23,5.32,4.81,4.02,3.36,3.01,2.14,1.96,1.78,1.69,2.15,3.09,3.8,3.66,2.99,3.0,2.23,2.73,2.99,2.96,3.47,3.35,3.42,2.55,2.09,1.92,2.47,2.96,3.56,3.41,3.37,2.97,3.24,2.79,4.12,4.69,4.56,4.54,4.55,3.71,3.56,3.66,3.79,4.08,2.7,2.1,1.9,2.0,2.1,1.9,2.2,1.9,2.6,2.9,2.7,3.2,3.7,4.9,6.3,6.84,7.9,9,10,"10,7"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Uganda,612.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56,32.34,39.12,38.3,37.41,32.35,28.08,31.99,24.63,25.3,22.81,16.71,7.04,6.73,0.76,0.59,0.04,1.2,0.43,-3.6,-2.24,-3.4,-1.34,1.92,3.76,6.87,7.59,7.49,5.7,5.54,6.79,6.84,9.12,7.06,5.15,3.01,2.63,0.38,0.05,-0.55,0.7,1.48,1.62,1.58,2.45,6.49,7.93,6.72,7.46,6.84,8.4,11.96,12.84,13.29,11.43,9.35,6.15,3.38,2.02,4.38,4.79,5.19,4.65,3.47,5.09,7.19,8.84,10.98,11.58,12.48,14.76,13.53,10.83,10.64,9.93,8.98,6.58,3.35,2.64,1.04,-0.15,-1.58,-1.73,-1.81,-2.65,-1.66,-1.17,-2.24,-2.18,-2.54,-1.5,-1.42,-2.88,-1.13,-0.24,0.54,1.38,0.1,-0.86,0.35,0.9,2.46,3.1,3.5,4.03,4.82,2.57,1.86,1.62,1.7,0.17,-0.14,-0.96,-1.02,-1.17,-0.88,1.05,0.4,-2.0,-3.5,-1.6,0.7,1.3,2.9,3.1,4.6,5.3,5.3,4.5,4.4,6.9,11.0,13.04,14.93,15.705282233735426,18.418276232291202,"22,2"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Uganda,613.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,16.22,19.95,13.51,14.43,16.06,18.45,16.49,15.85,14.76,16.3,15.98,15.87,7.36,2.06,5.65,5.01,7.7,10.53,12.16,10.88,11.93,10.87,11.45,10.02,13.87,13.71,11.36,10.62,6.89,2.62,1.15,1.84,1.29,0.65,1.73,0.16,0.24,0.09,0.47,0.52,0.71,0.89,1.11,0.61,0.59,0.5,0.21,1.22,1.48,2.69,2.63,2.5,3.6,4.33,5.52,6.15,6.51,6.48,6.32,5.66,5.63,5.22,4.73,4.4,3.97,2.23,1.21,-0.13,0.36,0.29,0.46,0.5,0.27,0.65,1.45,1.77,1.43,1.94,2.17,2.26,2.53,3.14,2.82,3.0,2.87,2.14,1.47,1.49,1.1,1.17,1.11,2.41,2.08,0.67,1.81,1.36,0.93,1.54,1.57,2.12,2.27,2.0,1.95,1.06,0.92,1.83,0.79,1.23,1.54,1.37,3.91,3.82,3.33,2.93,3.35,2.94,2.3,2.0,1.8,1.6,1.3,1.0,0.9,-0.5,-0.3,1.2,1.2,1.0,1.1,1.5,2.3,6.56,6.61,6.958199989407088,7.7416438498293365,"8,7"
Clothing and footwear,PCPIA_PC_CP_A_PT,Uganda,614.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.85,26.57,28.84,37.63,38.54,42.32,41.53,41.08,36.87,33.67,30.19,21.61,13.33,8.81,6.98,1.28,1.68,-2.48,-3.11,-3.85,-0.75,-0.05,1.07,6.15,9.84,11.61,11.19,13.22,10.63,8.93,8.87,7.98,6.19,5.94,6.17,3.81,3.86,4.13,3.71,2.13,0.91,2.62,2.53,2.83,5.3,5.15,4.73,7.34,8.0,7.22,9.13,7.92,9.12,8.79,10.74,11.54,9.98,8.76,9.21,9.06,7.03,6.7,5.33,5.24,5.19,5.77,4.13,4.31,4.38,4.58,4.38,3.08,4.57,3.75,1.16,1.82,1.34,0.96,1.37,2.69,1.87,2.23,2.81,3.84,3.38,3.7,7.2,6.2,5.9,5.52,6.71,4.53,5.5,5.22,4.76,4.89,5.36,4.62,3.96,3.92,4.73,4.33,2.38,3.49,2.98,3.11,2.64,2.33,1.16,1.85,2.47,1.31,0.88,2.78,3.51,2.42,1.91,1.0,1.3,1.3,1.1,1.2,1.4,1.0,2.2,1.9,0.8,1.7,2.5,3.2,2.9,3.1,3.42,3.38,3.3722859165566823,3.3712679765890665,"3,3"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Uganda,615.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.94,14.29,25.46,31.8,31.3,31.27,35.47,35.85,33.64,24.42,24.24,23.93,18.18,21.73,11.01,8.92,8.75,7.63,6.21,5.72,6.74,7.73,8.25,6.47,7.67,6.38,7.84,4.1,3.97,4.63,3.42,3.41,2.95,2.56,2.64,3.41,1.43,2.09,2.33,3.57,3.7,4.17,4.09,3.48,4.04,4.27,4.35,4.32,4.95,6.62,6.01,8.53,9.76,9.98,8.2,8.59,7.69,7.43,7.23,7.7,5.49,3.88,4.58,1.78,0.44,0.96,3.04,2.3,3.55,3.52,4.27,3.61,5.03,5.06,6.81,7.61,7.3,6.71,5.41,6.0,5.39,5.92,5.82,8.71,9.02,7.71,5.33,3.26,3.77,3.3,3.55,3.18,3.12,3.15,2.82,-0.34,-0.97,1.23,2.33,4.24,5.91,6.95,6.38,6.65,6.38,6.57,6.77,6.54,5.26,3.67,2.3,1.58,-0.31,-2.48,-0.92,-1.37,-0.28,-0.8,-1.5,-1.7,-1.5,-0.9,-0.7,-0.5,-0.9,0.1,0.5,1.1,1.1,1.9,4.5,4.4,4.87,5.18,6.222332351694008,6.124041224642792,5
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Uganda,616.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44,21.41,26.78,28.61,27.74,26.17,25.17,25.85,18.89,16.8,16.33,15.5,10.99,12.0,8.42,6.7,5.2,4.52,4.23,3.74,3.62,5.61,5.17,6.03,6.23,6.32,6.64,6.57,6.88,7.09,4.35,3.79,4.94,2.67,3.0,3.06,3.92,3.42,3.91,2.85,3.3,2.26,5.3,4.64,4.48,4.32,3.52,3.1,3.05,3.94,3.46,4.46,4.03,4.28,3.61,2.99,3.98,5.53,6.07,6.0,5.57,4.34,3.62,4.06,4.08,4.29,5.42,6.98,5.88,5.48,5.61,5.73,5.25,5.2,5.92,5.83,6.23,5.59,3.84,3.91,3.86,3.65,3.7,4.02,4.24,4.44,4.25,3.64,3.52,3.84,4.32,2.73,3.04,2.77,1.79,2.19,2.11,2.06,2.35,2.44,2.13,2.16,2.08,3.06,2.66,3.47,3.74,3.12,3.05,2.67,1.37,1.45,1.13,1.02,0.4,0.21,0.46,0.4,0.5,0.4,0.8,1.2,1.7,3.0,3.9,4.7,5.0,5.8,9.6,13.8,16.5,17.3,16.71,17.15,16.191766048475607,16.167415452180396,"15,1"
Health,PCPIM_PC_CP_A_PT,Uganda,617.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,6.86,9.6,10.16,11.49,11.92,14.99,17.32,18.39,18.76,20.13,19.54,19.27,19.51,19.65,19.2,17.86,17.53,11.62,9.41,8.71,8.21,6.49,6.34,6.65,6.84,6.25,6.3,6.18,6.24,4.79,4.79,4.95,5.14,5.52,5.39,5.08,4.65,2.8,2.82,2.82,2.92,2.98,3.03,3.09,3.04,1.47,1.63,1.71,1.94,2.51,2.56,2.58,2.42,2.33,2.47,2.42,2.53,3.78,3.82,3.98,4.39,2.59,2.85,2.94,3.25,2.76,2.77,2.5,2.22,1.64,1.36,1.2,1.24,1.25,1.24,1.23,1.33,1.67,1.93,2.12,2.37,2.18,2.7,2.64,2.72,2.52,2.15,2.3,1.91,1.74,1.19,1.6,1.59,1.65,1.66,2.05,2.35,2.56,2.73,2.74,3.03,3.11,3.52,3.2,3.01,3.3,3.16,3.1,2.2,2.04,1.93,1.88,1.57,1.32,4.08,4.1,5.4,5.5,5.4,5.0,5.0,5.1,5.5,5.5,5.6,5.4,5.8,2.2,2.1,1.9,2.1,2.08,2.85,3.2554709146608163,2.998068438298717,3
Transport,PCPIT_PC_CP_A_PT,Uganda,618.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36,16.02,18.53,15.2,15.65,19.92,16.81,14.98,12.02,6.9,6.71,6.47,6.59,4.86,1.53,2.9,4.25,2.43,1.64,1.81,3.48,6.01,3.89,6.16,5.58,4.8,5.12,4.12,2.99,1.51,2.87,3.16,1.99,1.53,1.25,-1.79,-1.29,-0.5,-1.06,-0.28,0.03,-2.21,0.65,-0.35,-0.71,-0.72,0.22,1.67,2.88,3.93,4.58,4.91,4.56,6.45,5.29,6.65,6.75,4.53,6.21,5.17,3.2,3.28,3.28,1.53,2.9,5.2,2.18,2.99,3.05,2.83,0.84,0.17,-0.31,-1.3,0.12,0.28,-1.57,2.6,3.75,3.47,4.8,7.29,7.81,8.01,12.11,15.16,13.27,14.09,15.12,9.8,9.48,9.43,11.6,11.7,11.42,11.21,8.05,4.67,4.75,3.99,4.05,3.94,3.36,1.47,-0.56,-0.67,-0.42,14.55,20.53,22.18,27.7,29.58,27.82,28.24,28.05,28.85,25.37,18.8,19.6,20.9,15.9,10.7,7.3,4.8,2.4,3.5,4.2,0.2,0.6,1.8,2.3,4.4,1.66,4.63,8.748851495355526,8.780952393547103,"7,5"
Communication,PCPIEC_PC_CP_A_PT,Uganda,619.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.08,-20.21,-3.69,9.5,12.02,10.37,10.68,10.05,15.38,9.36,8.47,6.87,3.82,8.69,-9.86,-7.25,-0.83,2.05,0.94,0.86,0.42,1.39,1.99,1.97,2.04,5.17,4.39,0.93,-0.02,-1.6,-1.72,-2.08,0.11,1.76,1.72,2.54,3.52,5.3,5.65,9.21,10.81,11.63,14.01,15.1,14.76,15.59,15.51,18.39,20.95,18.88,21.06,6.21,4.93,4.29,2.37,2.32,-0.27,-1.67,-1.78,-5.31,-8.02,-10.96,-12.67,-1.34,-2.48,-2.98,-1.73,-1.3,-0.24,0.37,-0.07,0.49,-2.09,-7.71,-8.14,-8.33,-1.71,-0.82,-2.11,-15.21,-15.16,-14.51,-14.12,-14.39,5.45,12.05,12.62,12.43,6.11,5.69,5.49,21.36,21.46,20.47,14.46,14.47,-9.97,-10.02,-10.07,-10.06,-10.09,-9.92,-8.83,-8.77,-8.79,-8.75,-4.02,-4.03,1.44,1.38,1.33,1.45,1.45,1.28,0.28,0.04,0.04,1.0,1.0,1.0,0.9,-1.4,-1.7,-0.7,-0.9,-1.0,-1.1,-0.8,-1.4,-2.4,-2.4,-2.7,-2.52,-1.33,-1.1597119767192072,-1.332204070189055,"-0,8"
Recreation and culture,PCPIR_PC_CP_A_PT,Uganda,620.0,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18,8.87,9.75,12.2,13.12,13.02,13.03,13.48,9.2,9.93,6.9,5.44,4.09,3.1,2.3,0.92,0.53,0.44,0.52,1.77,2.58,1.74,2.95,3.82,3.55,3.8,4.22,4.16,4.26,4.62,4.38,2.8,2.25,2.38,2.1,1.64,1.57,1.32,1.53,1.41,1.83,1.38,1.3,0.75,1.12,0.87,1.24,1.32,1.5,1.65,2.06,2.63,2.79,2.55,2.35,2.92,2.17,1.91,2.06,2.51,2.12,1.93,1.97,2.13,1.58,2.64,2.52,2.5,3.24,6.81,8.6,8.02,8.24,8.2,7.12,7.02,6.75,6.19,6.35,6.2,5.87,2.52,1.09,1.18,1.38,1.55,2.26,2.13,2.24,1.9,2.39,2.4,2.69,2.37,2.05,2.18,1.66,2.24,1.78,1.71,1.51,1.72,1.29,1.68,1.26,1.83,1.68,1.58,1.52,0.92,0.76,0.73,0.93,0.62,0.72,0.34,0.14,0.7,0.5,0.7,0.8,0.7,-0.3,-0.4,-0.4,-0.8,-0.4,0.1,0.6,1.6,2.9,3.3,4.0,5.0,6.435623770470874,6.648487406119677,"5,7"
