Main Group,Unnamed: 0,Division,Aug-,Sep-,Oct-,Nov-,Dec-,Jan-,Feb-,Mar-,Apr-,May-,Jun-,Jul-,Aug-.1
,,Weight,21.0,21.0,21.0,21,21,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
All Items,,1 000,24.4,22.1,21.1,19.3,16.4,15.1,14.2,13.1,11.5,10.2,9.7,9.9,9.8
Food and Non-,,534.85,31.6,29.6,28.1,25.4,19.9,16.9,16.0,15.3,14.1,12.3,11.9,12.0,11.3
alcoholic Beverages,,,,,,,,,,,,,,,
Alcoholic Beverages,,15.21,13.3,13.3,12.0,11.5,12.4,12.3,11.3,10.6,9.9,9.3,8.5,8.1,7.0
and Tobacco,,,,,,,,,,,,,,,
Clothing and Footwear,,80.78,16.1,15.6,16.2,15.9,16.1,15.7,13.3,13.4,12.3,11.5,11.2,11.5,9.1
"Housing, Water,",,114.11,22.7,17.8,17.4,17.3,17.8,17.5,14.8,11.3,7.6,5.7,5.4,6.2,5.4
"Electricity, Gas, and",,,,,,,,,,,,,,,
Other Fuels,,,,,,,,,,,,,,,
"Furnishing, Household",,82.36,21.2,20.3,18.6,17.1,15.9,14.9,12.0,10.4,8.4,8.1,7.5,7.1,6.0
"Equip., Routine",,,,,,,,,,,,,,,
Household Maintenance,,,,,,,,,,,,,,,
Health,,8.15,12.3,11.4,11.0,11.0,11.1,10.3,7.9,6.9,6.4,6.5,5.8,5.1,4.8
Transport,,58.08,7.3,0.7,0.5,(2.7),(3.0),3.0,8.2,8.1,4.9,4.6,3.7,4.3,13.6
Communication,,12.94,3.8,4.0,3.8,2.8,2.5,3.3,2.7,2.2,2.6,2.1,2.1,1.9,2.1
Recreation and Culture,,13.84,15.9,18.3,18.1,16.6,14.5,16.5,16.8,14.6,14.4,13.8,13.3,13.7,12.3
Education,,26.62,5.6,5.6,5.4,5.3,5.4,3.7,2.5,2.4,2.3,2.2,2.3,2.3,2.3
Restaurant and Hotel,,3.37,14.1,15.5,13.5,12.1,12.5,12.7,11.9,10.7,9.5,9.5,8.5,8.0,6.8
Miscellaneous Goods &,,49.69,15.4,15.8,15.3,15.3,14.8,14.1,13.0,10.9,10.2,11.4,10.1,9.9,8.8
Services,,,,,,,,,,,,,,,
