Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Zambia,628.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.5,6.53,6.27,6.37,6.14,6.81,6.48,6.66,6.76,6.41,5.92,6.42,5.99,6.41,6.47,6.59,6.67,6.19,6.44,6.59,6.85,6.93,7.33,7.0,6.91,6.6,6.53,7.01,7.34,7.26,7.06,6.97,6.89,7.02,7.14,7.27,7.57,7.65,7.75,7.79,7.89,8.02,7.97,7.84,7.95,8.08,7.86,7.66,7.43,7.18,7.2,6.94,7.05,7.06,7.31,7.74,14.34,19.52,21.11,21.76,22.89,22.24,21.77,21.29,21.03,20.17,19.57,18.85,12.46,8.76,7.47,7.04,6.81,6.66,6.72,6.54,6.82,6.63,6.35,6.57,6.45,6.3,6.09,6.21,6.11,7.14,7.43,7.82,7.42,7.83,8.06,7.95,8.28,7.77,7.86,7.94,7.79,7.55,7.65,8.11,8.65,8.84,9.34,10.45,10.71,10.8,11.72,12.52,13.87,14.03,15.71,16.55,15.93,15.8,15.48,15.69,16.05,17.42,19.23,21.49,22.19,22.8,22.73,23.24,24.61,24.57,24.45,22.13,21.12,19.27,16.36,15.07,14.18,13.09,11.46,10.2,9.7,9.9,9.8,"9,9","9,7"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Zambia,626.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,6.69,6.01,6.14,6.27,7.06,7.13,6.82,6.55,5.88,5.99,6.19,5.9,7.5,7.56,7.58,7.96,7.81,6.87,6.91,6.89,7.13,7.33,7.45,7.36,7.58,7.23,7.13,7.2,7.13,7.86,7.84,8.13,16.21,23.4,24.8,25.91,26.37,26.24,26.55,25.77,25.33,24.78,24.1,23.43,15.61,9.21,7.76,7.35,7.41,6.73,6.05,5.91,5.78,5.33,5.14,5.01,4.9,4.85,4.82,4.57,4.58,5.76,6.55,6.89,7.54,8.09,8.31,8.55,8.26,8.44,8.09,8.18,7.7,8.22,8.33,9.08,9.2,9.34,10.3,12.42,13.32,13.5,15.25,15.35,15.94,15.23,17.04,17.45,16.32,16.14,15.54,14.0,14.59,16.76,20.19,25.59,27.32,27.79,27.22,28.52,31.21,31.18,31.57,29.63,28.07,25.39,19.9,16.95,16.04,15.27,14.07,12.3,11.9,12.0,11.3,"12,1","12,2"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Zambia,633.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,6.27,6.12,6.06,6.53,6.6,5.06,6.04,5.48,6.51,6.65,6.84,10.95,12.2,13.91,13.96,14.15,13.76,14.06,14.05,14.09,14.04,13.25,12.83,8.23,6.09,4.58,4.49,3.92,3.9,4.65,4.66,5.27,9.57,15.12,15.15,15.98,19.06,20.33,21.03,21.88,22.29,21.42,21.24,20.37,15.07,9.83,10.76,9.87,8.51,6.99,4.98,4.48,3.6,3.37,3.68,4.56,4.71,5.24,3.74,3.91,3.03,3.44,4.65,4.64,5.49,5.26,5.01,4.48,4.94,4.92,5.84,5.74,5.83,5.9,5.81,5.63,6.1,6.74,6.81,7.22,7.13,7.14,6.67,6.44,6.67,7.02,8.24,10.51,10.85,11.45,11.08,10.38,11.53,11.63,11.41,11.95,12.91,13.45,13.21,11.61,12.11,11.64,13.26,13.34,12.01,11.5,12.4,12.29,11.31,36.55,9.86,9.3,8.5,8.1,7.0,"7,5","7,7"
Clothing and footwear,PCPIA_PC_CP_A_PT,Zambia,624.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,8.43,8.47,7.6,8.17,7.91,7.61,7.37,7.77,9.65,7.31,7.73,7.88,6.06,6.08,6.55,6.52,7.38,7.02,7.08,7.19,6.98,7.43,7.4,7.59,8.03,7.73,8.32,7.98,8.15,9.23,9.15,9.16,12.77,18.78,20.26,19.93,20.45,20.32,19.44,18.61,18.59,17.82,18.26,18.61,15.11,9.42,8.9,9.3,8.95,8.93,8.39,9.0,8.08,8.42,7.79,7.7,7.46,8.23,7.23,7.34,7.19,6.71,6.97,6.86,7.5,6.98,6.91,6.59,6.92,6.12,6.46,6.33,6.34,6.16,6.2,6.39,5.96,6.39,6.48,6.55,6.63,6.7,6.33,5.68,6.12,6.2,6.55,7.39,8.23,8.81,8.76,9.0,9.4,9.84,10.03,10.98,12.94,13.23,13.84,14.35,14.36,13.33,16.12,15.62,16.17,15.92,16.11,15.66,13.26,13.37,12.31,11.5,11.2,11.5,9.1,"9,1","8,2"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Zambia,634.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,7.44,8.19,8.3,9.68,8.98,8.65,8.0,9.37,9.2,9.69,7.56,9.65,8.43,7.55,7.37,6.38,6.78,12.47,12.26,11.52,11.62,11.29,11.14,10.71,9.67,9.34,9.09,8.51,9.67,5.46,5.38,5.13,5.08,5.15,8.62,5.89,8.32,6.57,5.97,6.54,6.11,4.98,4.26,4.27,4.03,6.0,2.24,5.16,4.15,5.97,7.2,6.5,12.07,12.0,12.81,16.16,16.29,16.16,15.92,17.1,16.5,16.89,15.83,15.82,9.25,9.46,9.48,6.4,7.53,6.7,7.3,6.05,6.46,5.34,5.8,6.02,5.85,5.95,5.53,5.41,5.32,5.29,5.33,12.02,15.93,17.43,17.08,17.77,18.21,18.39,18.76,23.47,22.71,21.98,21.69,14.64,13.25,15.56,20.04,21.52,21.87,21.6,22.68,17.84,17.44,17.25,17.83,17.53,14.8,11.28,7.62,5.7,5.4,6.2,5.4,"5,7","6,2"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Zambia,636.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,6.04,6.16,5.55,5.35,5.17,4.98,4.38,4.5,3.84,4.4,6.3,6.72,5.86,6.21,6.96,7.1,8.05,8.04,7.96,8.15,8.18,7.95,7.31,7.95,8.45,8.92,8.92,8.84,8.34,8.46,8.42,8.34,19.61,24.99,27.9,27.84,28.08,27.36,25.74,25.65,25.09,24.19,23.85,22.73,12.05,8.21,5.67,5.1,4.72,4.53,4.72,4.18,4.51,4.72,4.6,4.13,3.8,4.31,4.44,4.91,4.79,4.75,5.4,5.55,5.3,5.5,5.59,6.78,6.5,5.24,5.58,5.49,6.09,5.58,5.12,5.32,5.94,6.2,6.18,6.3,7.07,7.42,7.3,7.66,7.28,7.87,8.81,11.87,12.32,12.34,12.35,13.15,13.66,14.72,15.81,15.9,19.41,20.6,22.02,19.4,19.54,19.66,21.16,20.26,18.6,17.13,15.92,14.89,11.99,10.4,8.39,8.1,7.5,7.1,6.0,"5,7","5,2"
Health,PCPIM_PC_CP_A_PT,Zambia,630.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,3.32,4.87,3.7,4.98,6.2,5.56,4.83,3.76,4.88,5.35,5.55,6.39,6.77,5.31,6.14,5.8,5.82,5.96,5.46,5.5,5.65,5.71,6.11,5.09,5.89,6.07,6.35,6.99,6.86,7.09,7.62,7.19,14.76,18.78,19.6,19.12,19.01,18.4,18.75,16.12,16.27,15.6,15.82,15.61,9.53,5.64,5.84,6.17,5.53,5.83,4.76,5.35,6.18,6.19,5.97,5.56,4.37,4.81,4.23,5.53,5.07,4.21,4.93,5.45,4.23,4.36,4.12,5.0,4.78,4.8,5.15,3.88,4.28,6.37,6.66,6.48,6.88,7.1,7.43,7.8,7.74,7.84,7.79,8.06,8.37,7.52,7.68,11.02,11.89,12.36,12.53,12.78,13.36,12.95,12.67,13.12,15.51,15.49,15.03,12.17,12.16,12.27,12.28,11.36,10.97,11.03,11.09,10.27,7.89,6.94,6.41,6.5,5.8,5.1,4.8,"5,6","6,5"
Transport,PCPIT_PC_CP_A_PT,Zambia,635.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,3.88,3.09,3.53,6.72,8.34,9.77,10.82,8.43,11.28,13.08,13.67,13.34,11.93,13.83,13.29,12.43,11.46,9.52,9.1,8.3,8.17,9.42,7.07,7.3,2.66,2.57,3.8,0.65,1.21,3.05,6.73,11.65,23.79,24.41,22.3,24.43,30.31,25.62,20.22,19.63,21.99,17.9,15.77,11.33,0.02,9.26,13.37,9.08,8.7,9.06,14.46,14.28,10.47,11.01,7.88,7.17,6.93,1.71,1.02,1.8,1.6,8.87,6.86,10.11,9.36,10.74,12.31,13.49,19.37,14.87,16.5,19.05,20.75,14.09,14.5,14.53,21.42,21.5,21.72,21.19,16.54,16.41,17.58,18.62,26.97,30.97,40.15,39.37,35.34,34.06,33.92,40.07,39.58,41.55,38.8,38.64,29.35,27.35,20.03,19.32,17.97,18.84,7.26,0.68,0.55,-2.73,-3.03,3.04,8.19,8.06,4.88,4.6,3.7,4.3,13.6,"9,7",6
Communication,PCPIEC_PC_CP_A_PT,Zambia,631.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.05,2.56,2.49,2.7,2.8,2.38,2.36,3.04,2.91,3.41,4.04,4.11,3.03,2.75,2.81,3.54,3.96,3.73,3.72,3.5,3.5,3.48,3.23,2.21,2.27,2.02,2.49,1.68,1.4,1.83,1.85,1.16,1.17,4.72,5.87,5.49,5.91,6.07,10.61,10.83,10.69,10.47,10.66,10.7,11.08,7.48,6.33,7.92,7.61,7.52,2.56,2.35,1.91,1.64,1.5,1.47,1.13,1.79,1.76,0.79,0.71,0.67,0.67,1.56,2.0,2.63,2.66,2.68,2.72,1.97,1.97,1.79,1.74,1.74,1.74,0.84,0.86,0.86,1.37,1.45,1.39,1.63,1.62,1.62,1.62,1.61,1.62,2.27,2.26,1.63,1.05,1.2,1.61,2.35,2.64,2.79,3.4,3.85,3.98,3.82,3.82,4.0,3.84,3.97,3.81,2.75,2.47,3.29,2.68,2.24,2.61,2.1,2.1,1.9,2.1,"2,2","1,9"
Recreation and culture,PCPIR_PC_CP_A_PT,Zambia,627.0,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,3.8,4.12,3.81,3.68,3.41,2.89,3.89,3.88,5.16,6.86,5.86,5.22,5.53,6.44,7.67,7.54,7.77,8.27,8.7,7.87,6.84,7.94,7.99,7.42,7.92,7.22,6.94,6.24,6.34,6.22,5.99,6.66,19.8,25.51,26.25,25.33,26.29,24.91,24.11,21.43,20.32,20.7,20.8,20.59,10.36,4.79,3.65,5.31,4.58,5.13,4.48,6.39,5.31,4.31,3.61,2.46,1.82,7.07,5.63,6.51,6.91,4.87,6.1,5.4,5.64,6.19,6.98,8.28,7.31,1.07,4.01,3.6,2.85,4.4,3.67,4.55,6.47,7.56,7.04,7.75,7.32,7.6,6.47,6.24,5.22,6.58,6.81,8.04,8.75,8.0,7.97,6.88,7.92,9.39,11.68,11.8,13.26,13.64,14.5,13.66,13.67,13.58,15.87,18.3,18.08,16.64,14.51,16.52,16.78,14.64,14.37,13.8,13.3,13.7,12.3,"10,2","11,5"
