,Indicator.Name,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sep_2021,Oct_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022
0,Food and non-Alcoholic beverages,193.03,183.77,145.69,94.27,71.35,28.53,23.63,25.77,29.38,34.19,33.55,36.91,41.19,56.69,82.46,121.52,166.84,190.57,181.5,175.85
1,Alcoholic beverages and tobacco,180.83,170.46,112.41,72.56,38.31,7.64,7.57,14.59,16.7,19.65,18.15,19.34,22.61,28.51,34.9,48.02,57.64,65.22,61.02,59.94
2,Clothing and footwear ,230.63,204.25,126.02,101.27,78.14,26.87,11.68,12.15,12.79,16.74,11.24,15.42,18.18,21.02,28.87,34.52,35.26,38.28,36.06,36.84
3,"Housing, water electricity gas and other fuels",59.64,57.63,27.24,29.77,24.06,29.41,25.1,25.82,27.41,22.82,23.72,28.23,27.85,46.88,49.46,62.63,93.8,99.12,111.54,121.29
4,"Furniture, household equipment and maintenance",230.6,211.02,150.85,108.13,74.27,38.72,10.15,11.13,16.42,23.27,20.04,22.78,19.09,25.8,26.27,30.84,38.66,39.29,32.77,32.84
5,Health,155.41,151.6,99.11,77.62,64.96,26.4,4.52,6.23,7.9,9.12,7.24,6.66,10.7,13.72,19.15,37.65,50.29,55.4,54.72,54.79
6,Transport,218.94,203.85,163.35,150.59,113.36,69.66,7.47,7.37,13.09,14.73,9.75,10.14,16.38,18.94,24.33,35.96,43.33,45.77,44.91,44.0
7,Communication,1243.19,326.56,327.01,321.64,306.86,234.44,52.79,15.6,15.14,22.67,29.19,32.11,29.63,31.03,34.1,40.52,42.49,40.73,48.83,43.18
8,Recreation and culture,200.81,198.04,100.98,84.94,139.66,74.75,52.59,59.22,60.36,60.6,82.29,66.67,68.56,73.58,25.13,32.82,36.39,38.39,38.19,39.75
9,Education,107.46,14.14,15.81,35.24,37.34,42.17,41.41,36.33,36.1,38.35,16.96,20.34,20.75,7.46,7.66,7.78,20.12,21.72,35.91,33.61
10,Restaurants and hotels,138.68,142.74,130.27,103.25,74.73,47.25,13.98,17.28,22.45,21.77,19.85,22.91,23.49,30.77,32.78,38.22,43.12,44.05,40.42,39.39
11,Miscellaneous goods and services,270.68,203.73,155.91,119.1,84.43,43.19,10.2,6.17,11.43,12.31,11.53,13.36,14.41,21.51,28.61,42.18,48.58,53.93,50.27,50.98
12,All Items,191.53,162.93,122.35,94.7,74.56,40.91,21.61,21.5,24.44,25.91,24.88,27.83,29.82,41.0,50.53,70.02,96.06,106.32,107.51,108.69
