Indicator.Name,Indicator.Code,Country,_id,Geography,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31
"Consumer Price Index, All items",PCPI_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-0.87,3.57,4.69,6.01,5.25,4.31,3.57,4.13,3.74,4.1,3.19,3.52,3.14,2.59,2.76,2.58,2.93,3.1,3.45,4.31,4.12,4.28,4.81,4.25,4.23,4.03,4.03,3.85,4.01,4.01,3.67,3.31,3.47,2.96,2.95,2.61,3.08,2.75,2.42,2.26,1.77,1.28,1.29,0.8,0.48,0.64,0.32,0.32,-0.47,-0.94,-0.16,-0.16,0.0,0.32,0.16,0.16,0.0,-0.79,-0.79,-1.27,-1.42,-1.11,-2.68,-2.69,-2.84,-2.84,-2.85,-3.17,-3.33,-2.56,-2.4,-2.09,-2.25,-2.41,-1.62,-1.79,-1.3,-1.63,-1.31,-1.31,-0.82,-0.98,-0.98,-0.66,0.0,0.16,0.49,0.83,0.16,0.17,0.17,0.83,2.15,2.98,3.48,3.47,2.96,2.79,2.62,2.62,2.96,4.29,4.79,5.43,20.91,31.03,42.08,56.94,59.49,66.77,75.88,98.08,175.72,230.54,288.5,353.04,440.08,480.74,521.17,473.07,540.2,676.25,765.94,785.24,737.31,837.63,760.96,659.37,471.28,401.63,348.6,362.64,321.57,240.55,194.06,161.89,106.64,56.37,50.24,51.55,54.49,58.41,60.74,60.61,66.11,72.7,96.43,131.74,191.56,256.94,285.01,280.4,"268,79"
Food and non-alcoholic beverages,PCPIF_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-12.08,-6.81,1.11,5.14,6.53,7.39,7.18,7.18,8.45,8.41,9.77,7.38,6.87,5.24,3.47,3.08,2.34,3.08,3.44,3.44,3.99,3.79,3.74,5.79,4.82,4.98,5.12,4.75,4.58,4.75,4.38,4.2,4.88,5.04,3.95,3.76,3.75,4.75,4.2,3.52,3.54,2.85,1.68,1.01,-0.33,-0.66,-1.65,-2.14,-1.97,-3.24,-3.71,-3.73,-3.74,-3.43,-2.81,-2.83,-3.0,-3.17,-2.68,-2.69,-2.85,-2.84,-2.85,-2.86,-2.87,-3.38,-3.74,-3.6,-3.78,-4.13,-3.79,-3.81,-3.97,-4.13,-4.14,-3.99,-4.17,-4.02,-3.7,-3.37,-2.86,-1.97,-1.61,-0.9,-0.18,1.26,1.26,1.26,1.81,1.82,2.01,1.84,2.57,4.4,5.65,6.72,6.12,4.43,4.62,4.99,4.99,5.01,6.28,7.58,7.89,26.84,42.76,53.57,63.73,69.78,78.44,92.36,126.32,252.13,318.75,393.12,483.55,620.89,671.86,719.27,685.4,710.3,807.33,980.41,953.49,835.8,976.68,865.4,724.45,472.37,385.04,346.4,369.41,358.95,299.8,216.61,178.62,108.76,55.09,50.47,54.51,61.35,65.39,64.91,63.31,69.29,75.09,104.05,154.57,224.8,308.97,353.03,339.73,"321,32"
"Alcoholic Beverages, Tobacco, and Narcotics",PCPIFBT_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-6.63,2.33,13.43,17.41,18.9,12.73,13.14,12.42,12.45,10.91,12.27,10.12,10.06,7.21,4.19,3.62,2.68,3.23,4.36,4.35,4.9,3.58,3.58,7.57,7.35,7.08,5.77,6.11,5.74,6.25,6.78,6.6,6.23,6.56,6.4,4.86,3.84,5.62,6.12,5.92,5.92,5.39,4.89,4.4,4.4,5.19,5.85,4.15,5.14,2.19,1.71,1.71,1.86,1.71,1.71,2.03,2.18,1.08,0.92,0.77,0.46,0.77,0.92,0.61,0.3,0.61,0.76,0.61,0.46,-0.15,-0.46,-0.91,-0.91,-1.06,-1.37,-1.37,-1.52,-1.82,-1.82,-1.52,-1.37,-1.07,-0.76,-0.46,-0.61,-0.46,-0.15,-0.31,0.15,0.31,0.46,0.31,0.15,1.08,1.08,1.54,1.85,2.01,2.0,2.31,2.16,2.62,2.92,3.23,3.38,10.69,18.6,30.24,47.34,51.29,72.66,93.21,134.84,228.94,305.22,377.79,429.61,600.97,661.31,670.6,592.58,629.6,721.87,825.53,881.5,842.11,914.81,842.79,770.75,544.41,473.37,437.83,451.55,425.01,313.67,231.12,162.05,99.1,54.42,48.63,54.44,53.91,55.22,58.74,57.49,62.76,69.51,93.55,120.52,170.03,211.82,241.07,232.79,"221,77"
Clothing and footwear,PCPIA_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-18.9,-15.5,-10.9,-9.66,-3.26,-1.55,-2.5,-2.32,-1.75,-1.94,-3.26,-2.31,-1.17,-0.97,0.0,1.19,1.78,1.58,2.17,2.57,2.77,2.97,3.37,2.76,2.55,1.95,1.75,1.96,1.56,1.55,0.58,-0.19,-0.58,-0.38,-0.57,-0.58,-0.77,-0.57,-0.76,-0.38,-0.38,-0.57,0.19,0.39,0.58,0.19,-0.19,0.0,0.0,-0.58,-0.58,-0.39,-0.77,-0.58,-0.77,-0.39,-0.39,-0.19,0.0,0.0,0.0,-0.19,-0.39,-1.16,-1.36,-1.55,-1.55,-1.55,-1.55,-2.12,-2.32,-2.32,-2.51,-2.13,-1.94,-1.37,-1.18,-1.38,-1.57,-1.77,-1.77,-1.78,-1.58,-1.58,-1.39,-1.58,-1.58,-1.39,-0.99,-0.8,-0.6,-0.2,0.2,2.01,2.61,3.41,4.02,5.23,4.83,5.23,5.02,5.22,5.62,6.01,6.99,53.74,69.28,81.36,82.24,91.2,102.69,115.11,140.73,284.16,388.59,438.37,524.07,487.45,527.75,559.74,577.75,603.9,814.02,873.42,935.03,863.49,925.84,895.29,761.85,544.12,464.53,412.79,399.58,358.36,236.16,201.33,156.39,77.51,33.47,30.42,34.53,37.62,37.74,41.06,43.55,53.68,64.64,79.7,121.78,173.04,201.99,232.24,232.09,"224,88"
"Housing, Water, Electricity, Gas and Other Fuels",PCPIH_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.88,16.93,9.21,8.3,9.96,8.88,5.6,4.88,2.5,2.64,2.08,2.63,2.91,1.89,2.99,3.42,3.24,4.08,4.76,7.25,6.22,6.62,7.46,6.88,10.63,10.89,13.34,13.89,14.14,13.97,13.49,11.35,11.08,10.9,10.73,10.73,7.18,5.51,4.31,3.95,2.64,2.52,3.09,3.78,3.78,3.43,3.65,3.65,3.06,2.16,0.45,0.45,0.45,0.67,-0.11,-0.11,0.0,0.0,-0.22,-0.22,-0.22,0.67,-2.56,-2.45,-2.45,-3.22,-3.22,-4.2,-4.31,-4.31,-4.3,-4.41,-4.42,-5.41,-2.17,-2.17,-1.6,-1.03,-1.03,-1.5,-1.5,-1.5,-2.3,-2.08,-1.85,-0.93,-0.93,-1.05,-2.43,-2.32,-2.32,-1.05,-0.7,-0.59,-0.47,-0.59,-0.71,-1.3,-1.3,-1.3,-0.59,-0.71,-0.71,-0.47,2.24,6.96,10.43,15.28,18.48,22.08,22.91,26.01,49.1,62.72,84.95,112.6,186.26,189.31,269.53,256.12,254.3,444.28,457.09,461.93,411.22,424.96,374.94,323.55,252.6,244.28,163.68,174.75,177.34,79.31,76.0,71.82,75.33,59.59,59.15,61.64,42.51,44.01,48.41,49.07,50.47,51.34,82.81,96.06,152.72,255.69,269.94,296.36,"305,85"
"Furnishings, household equipment and routine household maintenance",PCPIHO_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-9.42,-10.19,-7.71,-7.06,-1.94,-1.78,-3.99,-4.15,-4.15,-4.5,-7.36,-4.83,4.54,4.73,0.36,-0.54,-0.9,-0.18,-0.18,0.18,0.36,0.0,2.03,0.18,0.54,0.54,1.08,1.45,1.45,1.45,1.27,1.08,0.9,1.63,1.63,1.27,0.72,0.72,0.72,0.9,0.54,0.18,0.0,-0.36,-0.36,-0.71,-1.07,-1.07,-1.07,-1.43,-1.95,-2.66,-2.5,-2.5,-2.32,-2.33,-2.5,-2.33,-2.16,-1.99,-1.99,-1.81,-1.63,-1.46,-1.46,-1.65,-2.38,-2.38,-2.75,-2.76,-2.95,-2.95,-3.13,-3.31,-4.05,-3.89,-3.9,-3.53,-2.81,-2.63,-2.45,-2.08,-1.71,-1.33,-0.76,0.19,1.54,2.12,2.32,2.5,2.31,2.5,3.87,7.34,8.88,8.85,9.0,8.75,8.51,8.3,8.3,7.33,7.91,8.65,10.61,35.61,45.92,57.07,71.0,74.83,83.28,93.9,116.38,256.22,350.79,396.89,454.71,490.58,527.1,546.23,499.38,523.9,667.21,799.64,878.42,725.71,761.21,735.2,639.06,452.08,385.95,350.76,358.92,336.54,242.34,178.83,142.04,82.76,43.59,40.68,45.76,52.81,55.75,58.21,60.9,67.02,72.32,90.98,109.52,164.89,211.35,225.77,212.89,"201,7"
Health,PCPIM_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,-7.49,0.0,1.63,4.19,3.48,0.65,1.3,-0.64,-0.32,-0.32,2.47,1.63,0.49,0.49,-0.96,-0.96,-0.96,-0.32,-0.48,-0.16,-0.48,0.0,0.0,0.0,0.48,1.13,1.13,1.46,1.29,1.29,1.78,2.1,2.42,1.93,1.93,2.25,1.92,3.19,3.19,3.84,3.51,3.02,2.86,2.69,2.05,2.21,2.37,2.2,1.89,0.46,0.46,0.15,0.31,0.62,0.77,0.62,0.93,0.93,0.92,0.92,1.23,1.08,1.08,0.77,0.92,0.46,0.46,0.46,0.31,0.92,0.76,0.46,0.46,0.15,0.15,0.31,-0.15,0.15,-0.15,-0.15,-0.15,-0.76,-0.91,-0.61,-0.76,-0.46,-0.3,-0.46,0.0,-0.15,0.0,0.0,0.15,1.22,1.68,1.53,1.83,1.83,1.83,2.14,1.98,2.44,2.75,2.9,4.73,17.04,20.6,30.83,45.95,50.15,53.37,83.68,114.52,212.97,347.25,379.97,458.81,566.88,664.59,694.6,649.07,785.0,1001.17,1048.25,1063.08,1041.05,913.82,909.52,772.73,554.65,456.12,401.81,414.94,334.17,253.64,185.47,148.34,78.24,46.4,45.54,50.77,59.36,67.07,72.99,67.83,72.05,76.66,98.73,134.07,208.25,277.03,301.31,290.7,"273,06"
Transport,PCPIT_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,13.9,18.73,15.7,13.62,11.47,3.48,-3.92,-3.7,-0.95,-1.89,-0.95,-2.78,3.29,3.25,8.57,9.59,9.33,9.62,9.35,10.1,6.95,7.45,6.44,6.44,1.82,0.45,-1.75,-1.09,-1.09,-0.88,1.1,0.66,3.59,6.71,7.17,6.95,6.47,8.5,8.71,7.74,6.86,6.86,4.99,5.21,4.98,1.47,1.05,1.47,1.47,0.0,-0.41,-0.21,1.04,0.83,0.62,0.62,1.03,1.03,1.24,1.24,0.21,-0.41,-0.21,-0.62,-1.23,-1.03,-1.23,-1.64,-2.45,-2.66,-2.86,-3.27,-2.68,-2.48,-3.1,-2.69,-2.7,-2.7,-2.49,-2.5,-2.09,-1.89,-1.26,-1.27,-1.69,-1.27,-0.64,-0.85,-0.64,-0.85,-1.07,-0.85,-1.07,0.0,0.0,0.43,1.29,1.08,-0.43,-0.64,-0.64,-0.22,0.22,0.65,1.3,19.7,21.96,56.6,130.43,112.77,122.2,130.24,167.39,278.66,377.63,530.84,633.9,679.07,735.14,625.68,404.25,498.6,585.74,622.05,664.54,613.66,750.52,611.85,519.58,404.5,376.47,341.55,348.56,326.5,265.87,239.16,181.29,119.54,48.44,40.1,44.6,53.46,56.38,61.17,61.99,66.45,84.28,106.12,147.0,227.24,290.11,299.82,289.18,"263,38"
Communication,PCPIEC_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.73,-7.59,-8.16,-5.03,-4.96,-4.21,-4.39,-3.9,-3.6,-4.56,-4.48,-4.19,-1.66,-1.91,-1.83,-2.48,-2.4,10.95,11.43,10.61,10.71,12.32,11.64,11.85,12.31,12.34,12.34,12.82,12.91,-0.52,-0.37,-0.15,0.07,-0.37,0.0,-0.08,-13.29,-13.09,-13.39,-13.47,-13.54,-13.61,-13.75,-13.81,-14.01,-14.01,-13.88,-13.68,-0.61,-0.61,-0.26,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-13.68,-13.76,-13.76,-13.85,-13.94,-13.85,-13.79,-13.71,-14.06,-13.99,-14.16,-14.16,-0.91,-1.01,-0.61,-0.51,-2.02,-2.12,-2.43,-2.43,-2.13,-2.13,-1.93,-1.93,-1.53,-1.33,-1.73,-1.63,0.0,0.0,0.31,0.31,0.62,0.93,0.93,0.93,0.41,0.62,-1.03,-1.34,-1.34,-1.24,-1.03,-1.03,-0.93,0.1,0.31,1.54,2.88,2.77,4.6,8.48,42.41,45.61,56.32,162.38,164.9,185.2,221.74,222.29,227.33,946.4,989.91,985.23,761.62,937.5,2013.03,1405.26,1681.2,1594.02,1404.34,1400.85,1370.4,359.53,363.14,349.56,332.86,256.74,63.09,46.78,26.84,31.9,43.7,42.48,42.62,44.98,48.39,49.43,51.63,71.33,77.6,74.63,83.2,"81,35"
Recreation and culture,PCPIR_PC_CP_A_PT,Zimbabwe,0,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,4.04,0.38,-0.19,-2.45,-2.63,-1.52,-1.89,-2.09,-5.84,-5.68,-3.38,-3.01,-4.99,-3.37,-2.08,0.39,0.39,1.55,1.35,1.55,1.74,2.14,2.33,1.74,0.19,1.74,1.54,2.5,1.15,0.0,0.19,0.38,0.38,-0.19,-0.19,-0.19,1.94,-0.19,-0.19,-1.32,-0.76,-0.38,-0.57,-0.76,-0.95,-0.76,-0.95,-0.95,-1.14,-1.15,-1.33,-0.95,-0.76,-0.76,-0.96,-0.77,-0.96,-0.77,-0.58,-0.58,-0.58,-0.39,-0.39,-0.96,-0.77,-0.96,-0.77,-1.16,-0.97,-1.16,-1.16,-0.78,-0.97,-0.97,-0.97,-0.97,-0.78,-0.78,-0.78,-0.59,-0.78,-0.59,-0.39,-0.39,0.2,0.2,0.39,0.59,0.2,0.39,0.59,0.79,1.77,4.92,5.89,6.47,8.01,8.79,10.33,10.33,10.55,10.35,10.72,10.53,9.86,36.21,56.59,60.41,74.86,79.53,83.57,93.46,151.06,240.53,361.27,420.63,513.38,532.37,555.92,571.87,517.27,604.1,976.13,1017.26,847.36,875.78,739.31,702.64,619.49,454.69,368.01,348.31,347.08,277.08,140.26,121.37,139.67,75.07,52.59,45.94,43.02,48.25,50.45,54.57,60.56,69.0,73.28,92.38,83.21,122.53,143.28,156.86,158.77,"156,66"
