,,Food and non-Alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear ,"Housing, water electricity gas and other fuels","Furniture, household equipment and maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All Items
2020,Jan,38.89,36.25,31.51,69.97,29.77,40.64,32.26,10.86,32.12,55.89,44.52,29.26,37.91
,Feb,41.23,38.15,34.14,69.88,31.49,41.92,34.25,33.66,35.80,99.57,43.38,35.95,42.33
,Mar,48.13,48.68,45.92,87.67,40.75,51.79,39.78,35.17,52.95,98.18,46.08,42.64,50.60
,Apr,61.26,60.02,51.28,86.39,49.09,58.21,42.10,35.82,56.99,98.45,52.96,48.23,58.33
,May,69.78,75.41,59.33,91.62,59.12,62.72,49.86,37.15,62.51,98.16,63.32,57.82,66.23
,Jun,95.45,98.54,86.53,96.07,79.46,83.11,63.11,45.64,86.82,99.49,77.31,75.99,85.73
,Jul,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
,Aug,99.73,95.73,100.31,100.59,100.10,99.72,101.28,137.05,96.11,103.69,99.33,105.75,101.41
,Sep,99.93,95.98,99.86,101.18,96.92,99.07,96.33,143.02,96.28,103.14,96.51,102.46,100.93
,Oct,100.98,95.32,97.25,105.94,93.16,99.01,96.68,144.26,96.52,103.62,98.88,102.91,102.37
,Nov,104.71,96.97,99.37,106.95,93.03,100.63,97.81,144.30,97.09,115.40,102.63,103.10,104.67
,Dec,109.47,98.92,102.56,109.83,94.40,101.25,100.29,143.97,97.26,114.12,106.70,104.46,107.55
2021,Jan,113.96,101.80,104.18,111.70,98.42,103.80,102.89,145.87,96.62,115.95,106.26,108.46,110.52
,Feb,117.00,103.18,103.87,110.15,97.94,105.47,104.07,143.58,106.70,113.65,105.30,109.19,111.30
,Mar,118.25,103.40,103.79,111.55,102.22,103.12,104.76,150.18,106.42,113.70,106.11,109.12,112.51
,Apr,119.01,103.57,103.21,112.11,102.17,103.39,105.50,151.03,105.40,133.14,107.64,105.67,113.57
,May,119.57,104.30,105.69,113.66,103.03,103.46,106.38,151.15,149.81,134.81,110.64,106.64,115.61
,Jun,122.68,106.07,109.78,124.32,110.23,105.05,107.07,152.64,151.72,141.44,113.84,108.81,120.80
,Jul,123.63,107.57,111.68,125.10,110.15,104.52,107.47,152.79,152.59,141.41,113.98,110.20,121.61
,Aug,125.43,109.70,112.50,126.56,111.24,105.93,108.74,158.43,153.03,141.36,116.49,112.28,123.21
,Sep,129.29,112.01,112.63,128.91,112.83,106.90,108.94,164.67,154.39,140.37,118.18,114.17,125.60
,Oct,135.51,114.05,113.53,130.12,114.84,108.04,110.92,176.96,155.01,143.36,120.41,115.58,128.89
,Nov,141.34,115.40,113.96,132.45,116.13,109.11,112.51,185.23,155.64,134.09,122.89,117.27,131.64
,Dec,146.22,118.68,115.12,134.77,117.64,110.18,112.14,185.72,157.28,134.18,124.61,120.32,134.35
2022,Jan,152.19,120.28,115.89,138.19,118.14,111.32,112.92,188.45,176.13,135.62,127.35,120.97,138.02
,Feb,160.19,123.13,119.89,141.24,120.25,112.49,114.62,189.68,177.84,136.77,129.42,123.78,142.28
,Mar,166.96,126.78,122.66,142.62,121.73,114.15,121.92,194.68,179.38,137.29,131.04,124.84,146.06
,Apr,186.48,133.10,124.90,164.67,128.53,117.57,125.48,197.90,182.95,143.07,140.76,128.40,160.13
,May,218.17,140.70,136.20,169.88,130.10,123.27,132.26,202.69,187.45,145.14,146.91,137.15,174.03
,Jun,271.76,157.00,147.68,202.18,144.23,144.60,145.57,214.49,201.52,152.44,157.35,154.71,205.39
,Jul,329.90,169.57,151.06,242.45,152.73,157.08,154.04,217.71,208.11,169.86,163.13,163.73,238.43
,Aug,364.46,181.25,155.57,252.00,154.95,164.61,158.51,222.96,211.78,172.07,167.80,172.83,254.21
,Sep,363.95,180.36,153.25,272.70,149.80,165.40,157.87,245.08,213.35,190.77,165.95,171.56,260.63
,Oct,373.80,182.41,155.35,287.94,152.55,167.23,159.73,253.37,216.62,191.54,167.84,174.50,268.98
