,Alcoholic beverages and tobacco,Clothing and footwear ,"Housing, water electricity gas and other fuels","Furniture, household equipment and maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,,Food and non-Alcoholic beverages,All Items
2020,,,,,,,,,,,,,,
Feb,710.29,629.57,603.89,254.34,523.95,785.04,498.64,946.38,604.12,262.80,507.72,,462.64,540.16
Mar,807.36,721.94,814.31,444.09,667.21,1001.14,585.97,989.48,975.94,252.31,582.94,,616.11,676.39
Apr,980.03,825.86,873.49,456.99,799.24,1048.61,622.22,984.76,1017.34,233.23,590.62,,663.66,765.57
May,953.34,881.65,935.22,461.76,878.64,1062.84,664.43,761.68,847.15,223.43,739.67,,700.38,785.55
Jun,842.04,863.68,411.42,725.77,1040.97,613.71,937.83,875.68,226.03,764.10,1184.15,,835.56,737.26
Jul,914.97,925.92,424.89,761.12,913.86,750.68,2013.62,739.27,196.93,812.65,1138.04,,976.73,837.53
Aug,842.90,895.39,374.89,735.12,909.62,611.88,1405.52,702.75,413.11,810.44,1058.99,,865.48,761.02
Sep,770.81,761.81,323.45,638.97,772.72,519.65,1681.32,619.53,508.37,742.51,820.76,,724.40,659.40
Oct,544.43,544.11,252.56,452.09,554.64,404.46,1593.73,454.72,505.13,536.36,639.65,,472.40,471.25
Nov,473.41,464.54,244.29,385.99,456.13,376.50,1404.55,368.00,420.46,386.63,509.46,,385.02,401.66
Dec,437.80,412.80,163.67,350.75,401.81,341.52,1400.70,348.33,420.53,330.15,434.93,,346.40,348.59
2021,,,,,,,,,,,,,,
Jan,451.53,399.55,174.78,358.95,414.96,348.54,1370.61,347.06,376.10,354.29,449.65,,369.43,362.63
Feb,425.04,358.36,177.30,336.52,334.15,326.47,359.53,277.07,144.52,349.97,340.25,,358.96,321.59
Mar,313.69,236.18,79.30,242.33,253.65,265.87,363.15,140.26,144.23,296.40,270.14,,299.81,240.55
Apr,231.12,201.33,76.01,178.83,185.47,239.16,349.55,121.37,180.66,238.80,226.98,,216.60,194.07
May,162.05,156.40,71.83,142.05,148.33,181.30,332.85,139.66,180.59,224.31,181.76,,178.60,161.91
Jun,99.10,77.51,75.32,82.76,78.24,119.54,256.74,75.07,193.77,149.35,126.46,,108.76,106.64
Jul,54.42,33.47,59.60,43.58,46.40,48.44,63.09,52.59,192.16,89.35,73.95,,55.09,56.37
Aug,48.62,30.42,59.15,40.69,45.54,40.10,46.78,45.94,63.03,83.38,66.37,,50.47,50.25
Sep,54.44,34.53,61.63,45.76,50.77,44.60,26.84,43.02,33.07,91.94,60.93,,54.52,51.55
Oct,53.91,37.62,42.51,52.82,59.36,53.46,31.90,48.25,30.12,100.00,62.62,,61.35,54.49
Nov,55.23,37.74,44.01,55.75,67.07,56.38,43.70,50.46,30.85,112.50,68.38,,65.39,58.40
Dec,58.74,41.06,48.41,58.21,72.99,61.17,42.48,54.57,31.36,121.06,75.77,,64.91,60.74
2022,,,,,,,,,,,,,,
Jan,57.49,43.55,49.06,60.90,67.83,61.99,42.62,60.55,35.42,118.79,75.57,,63.31,60.61
Feb,62.76,53.68,50.47,67.02,72.05,66.45,44.98,69.00,45.86,126.30,80.66,,69.29,66.11
Mar,69.51,64.64,51.34,72.32,76.66,84.28,48.39,73.28,49.79,128.76,88.93,,75.09,72.70
Apr,93.55,79.70,82.80,90.98,98.73,106.12,49.43,92.38,53.56,177.97,103.32,,104.05,96.43
May,120.52,121.78,96.06,109.52,134.07,147.00,51.63,83.21,69.66,158.16,137.39,,154.57,131.74
Jun,170.03,173.04,152.72,164.89,208.25,227.24,71.33,122.53,74.10,210.83,186.59,,224.80,191.56
Jul,211.82,201.99,255.69,211.35,277.03,290.11,77.60,143.28,86.85,243.77,229.24,,308.97,256.94
Aug,241.07,232.24,269.94,225.77,301.31,299.82,74.63,156.86,102.14,269.73,250.51,,353.03,285.01
Sep,232.79,232.09,296.36,212.89,290.70,289.18,83.20,158.77,160.94,261.32,243.60,,339.73,280.40
