date,comment,PCPI_PC_CP_A_PT_old,PCPI_PC_CP_A_PT_new,diff,Country,indicator,PCPIF_PC_CP_A_PT_old,PCPIF_PC_CP_A_PT_new,PCPIA_PC_CP_A_PT_old,PCPIA_PC_CP_A_PT_new,PCPIH_PC_CP_A_PT_old,PCPIH_PC_CP_A_PT_new,PCPIHO_PC_CP_A_PT_old,PCPIHO_PC_CP_A_PT_new,PCPIM_PC_CP_A_PT_old,PCPIM_PC_CP_A_PT_new,PCPIT_PC_CP_A_PT_old,PCPIT_PC_CP_A_PT_new,PCPIR_PC_CP_A_PT_old,PCPIR_PC_CP_A_PT_new,PCPIO_PC_CP_A_PT_old,PCPIO_PC_CP_A_PT_new,PCPIED_PC_CP_A_PT_old,PCPIED_PC_CP_A_PT_new,PCPIFBT_PC_CP_A_PT_old,PCPIFBT_PC_CP_A_PT_new,PCPIRE_PC_CP_A_PT_old,PCPIRE_PC_CP_A_PT_new,PCPIEC_PC_CP_A_PT_old,PCPIEC_PC_CP_A_PT_new
2022-07-31,new is correct (matches IMF),9.61,9.38,0.22999999999999865,Algeria,"Consumer Price Index, All items",,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),10.1,9.84,0.2599999999999998,Algeria,"Consumer Price Index, All items",,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.6900000000000004,Algeria,Clothing and footwear,,,6.5,7.19,,,,,,,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.3900000000000001,Algeria,"Housing, Water, Electricity, Gas and Other Fuels",,,,,2.9,2.51,,,,,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.15000000000000036,Algeria,"Furnishings, household equipment and routine household maintenance",,,,,,,6.2,6.05,,,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.1800000000000006,Algeria,Health,,,,,,,,,7.2,7.02,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.20000000000000007,Algeria,Transport,,,,,,,,,,,1.1,0.9,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,2.3100000000000005,Algeria,Recreation and culture,,,,,,,,,,,,,11.4,9.09,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.9500000000000011,Algeria,Miscellaneous goods and services,,,,,,,,,,,,,,,11.2,12.15,,,,,,,,
2022-07-31,new is correct (matches IMF),,,3.01,Burundi,Health,,,,,,,,,4.8,7.81,,,,,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.23000000000000043,Burundi,Transport,,,,,,,,,,,31.5,31.27,,,,,,,,,,,,
2022-07-31,new is correct (matches IMF),,,0.10000000000000009,Burundi,Recreation and culture,,,,,,,,,,,,,3.1,3.2,,,,,,,,,,
2022-08-31,new is correct (matches IMF),,,0.11999999999999922,Burundi,"Alcoholic Beverages, Tobacco, and Narcotics",,,,,,,,,,,,,,,,,,,7.1,6.98,,,,
2022-02-28,new is correct ,1.3,2.2,0.9000000000000001,Chad,"Consumer Price Index, All items",,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,new is correct ,,,0.2,Chad,"Housing, Water, Electricity, Gas and Other Fuels",,,,,-0.4,-0.2,,,,,,,,,,,,,,,,,,
2022-07-31,,,,3.3999999999999995,Chad,"Furnishings, household equipment and routine household maintenance",,,,,,,2.2,5.6,,,,,,,,,,,,,,,,
2022-07-31,new is correct ,,,0.30000000000000004,Chad,Health,,,,,,,,,0.7,1.0,,,,,,,,,,,,,,
2022-07-31,,,,2.1000000000000005,Chad,Transport,,,,,,,,,,,2.3,4.4,,,,,,,,,,,,
